iter	Passed	Remaining
0	1	1775
1	3	1635
2	4	1579
3	6	1557
4	7	1531
5	9	1515
6	10	1509
7	12	1502
8	13	1498
9	15	1494
10	16	1492
11	18	1515
12	19	1512
13	21	1509
14	22	1504
15	24	1500
16	25	1497
17	27	1491
18	28	1487
19	30	1484
20	31	1482
21	33	1479
22	34	1477
23	36	1475
24	37	1473
25	39	1472
26	40	1470
27	42	1470
28	44	1491
29	47	1538
30	50	1586
31	54	1634
32	56	1656
33	58	1649
34	59	1642
35	61	1637
36	62	1630
37	64	1624
38	65	1617
39	67	1613
40	68	1608
41	70	1603
42	71	1598
43	73	1593
44	74	1587
45	76	1582
46	77	1578
47	79	1573
48	80	1568
49	82	1564
50	83	1560
51	85	1556
52	86	1552
53	88	1549
54	89	1546
55	91	1541
56	93	1542
57	94	1539
58	96	1535
59	97	1531
60	99	1528
61	100	1525
62	102	1521
63	103	1518
64	105	1516
65	107	1522
66	109	1520
67	110	1517
68	112	1514
69	113	1511
70	115	1508
71	116	1506
72	118	1503
73	119	1500
74	121	1497
75	122	1494
76	124	1491
77	125	1489
78	127	1486
79	129	1483
80	130	1481
81	132	1478
82	133	1475
83	135	1473
84	136	1470
85	138	1468
86	139	1465
87	141	1462
88	142	1460
89	144	1458
90	145	1456
91	147	1453
92	148	1451
93	150	1448
94	151	1446
95	153	1444
96	154	1442
97	156	1440
98	158	1438
99	159	1436
100	161	1434
101	162	1432
102	164	1430
103	165	1427
104	167	1425
105	168	1423
106	170	1421
107	171	1419
108	173	1417
109	174	1415
110	176	1413
111	177	1411
112	179	1408
113	181	1407
114	182	1405
115	184	1402
116	185	1401
117	187	1399
118	188	1397
119	190	1396
120	192	1394
121	193	1392
122	195	1390
123	196	1388
124	198	1386
125	199	1384
126	201	1382
127	202	1380
128	204	1378
129	205	1376
130	207	1374
131	208	1372
132	210	1370
133	211	1368
134	213	1367
135	214	1365
136	216	1363
137	217	1361
138	219	1359
139	221	1357
140	222	1355
141	224	1354
142	225	1352
143	227	1350
144	228	1348
145	230	1346
146	231	1344
147	233	1343
148	234	1341
149	236	1339
150	237	1337
