A,B,C,label,split
5.084531036282163,2.436017122686527,8.772135415308565,0,train
9.324315849762826,4.441529842483168,4.793942323960915,1,train
8.303001436075617,8.538765081071725,3.0563678604119975,1,train
2.424795106464349,1.7159984897996197,9.170817714431877,0,train
8.37091864259971,1.3004156201483554,7.64764876220485,1,train
4.228770228097693,6.47448932959071,8.534638848632941,1,train
8.963638962123886,4.271496579862712,8.871961346904488,1,train
7.183114283936614,8.834128571678875,6.592728119185048,1,train
7.042974787327673,1.4693669894171695,4.4587239515851635,0,train
6.661794083301961,4.770488713478207,3.8958581355145894,1,train
7.3370925079404214,6.7160352951000135,9.369418736210537,1,train
9.20882634475145,4.259829789493137,5.721732917295725,1,train
5.862531493681116,7.445756161151085,8.258024799063454,1,train
4.096790009646799,6.2059304714011985,8.552890327317069,1,train
7.342528720085353,8.432479135364215,2.386114312770373,1,train
9.928702504040077,3.2225010259798568,9.810659826041565,1,train
5.065021057274186,6.858727704142545,9.547682608438308,1,train
7.516913465028083,4.913086536984947,6.363736273703269,1,train
1.1507288197210745,1.2978168268669024,1.4471912480335545,0,train
4.870422591580342,7.7033730515032754,3.447881710030776,1,train
1.621780280943787,3.703431976003293,6.837855470423856,0,train
2.047188924477606,2.048199345125173,7.1551273066885,0,train
3.329170537569082,5.6006925666280045,9.45643570640215,0,train
3.459153768176885,9.997351639875157,9.525179321150492,1,train
2.490050221653441,9.038945445502668,5.571932334937137,0,train
5.457417856509616,8.096081156995716,3.8727605854041323,1,train
9.690405917593266,5.574797142667306,3.134665386925887,1,train
9.97940899770999,2.874375964018597,2.8576714901944174,1,train
3.7510295784644807,7.016023027777143,2.5381650917313565,0,train
4.55060153292348,6.514303653653795,5.234763506689211,1,train
4.351875107647493,9.917016859556497,2.977646224912206,1,train
1.1038036670970945,9.898979235850021,1.309885556174626,0,train
7.0585361884265305,3.9250678715763567,4.8243634123040415,1,train
9.226469936649892,3.9325984719006986,7.355201904568509,1,train
2.157495213653378,3.0532852191658106,3.128507116348205,0,train
8.500791839478648,5.017595364695245,3.236521194799619,1,train
7.880740962631582,7.393392558027621,3.3790022771609394,1,train
6.1427226842044815,2.0602862636382895,2.1107096500621516,0,train
8.438249584510409,4.939603897842362,2.4345667264765494,1,train
2.5428184501621143,5.759230737295406,6.757074018324325,0,train
7.326053361630297,3.6242271207346377,4.652696377301536,1,train
5.4223459241289795,8.70046440103702,5.343028445694262,1,train
4.480340453481324,9.591638333171526,1.271993107790654,1,train
