A,B,C,label,split
9.690405917593266,4.469131418679872,1.9886063029116985,1,train
4.480340453481324,9.396874909516429,3.125094062339584,1,train
7.574425920059562,4.846680507906044,6.360046267804693,1,train
9.114204282929196,4.895979046507371,1.4607324300127915,1,train
6.220732929061882,6.687523403265185,4.217467194625885,1,train
8.909348955952513,4.384771927552204,3.63813511944838,1,train
3.872977768391604,8.942881100961358,8.504146308408144,1,train
6.7131278063229995,6.237133503824149,1.4046144534112686,1,train
4.170431646167874,9.765812628437148,5.246689267516616,1,train
4.309452298320953,8.823244735239449,6.621827767475321,1,train
6.5508484773032105,5.833922707564843,4.558369591069987,1,train
8.333748143522422,4.085949288253355,7.287207590642832,1,train
6.334911364819061,6.68681735752931,2.5281791605377215,1,train
6.07139564367181,5.849540693577687,8.56313880847556,1,train
7.294239669170929,5.41486818838275,6.969691934604709,1,train
5.1563121029575285,7.156110203006133,8.227501705253651,1,train
8.128562722063291,4.9176413908328795,6.622770894961925,1,train
4.94111250928669,8.593067567486074,4.3873333319913215,1,train
7.791241029506118,4.435031924883863,7.276624716210239,1,train
4.701828967270491,9.08031195754172,3.5111353863839767,1,train
4.739625859860736,8.503536522333748,3.529386467190287,1,train
5.546158812975734,7.391017084634262,3.406343453087526,1,train
5.484711716168143,6.543984060763019,5.8889528552204,1,train
5.462115387600422,6.2757777727644735,8.679313807888366,1,train
8.52704591536969,4.522727953286541,6.595436384127016,1,train
9.55667831618232,4.511475956429734,2.8370499294103126,1,train
8.70862894979869,4.684847059336695,5.750777153641675,1,train
4.07129448319538,9.287662314289376,5.4552654680733195,1,train
6.999669421836944,4.822057494304382,9.411174191653954,1,train
5.752692210730946,6.586027755748657,8.421126928042032,1,train
6.238701752656369,6.524806364572278,4.540255850901696,1,train
5.823770552963073,6.884239511709102,4.2053444712286225,1,train
6.867164094818085,6.084715189968454,2.1501886751137245,1,train
8.70671126482228,4.229980557365034,4.721358057927913,1,train
9.864811853276455,3.265865278172636,9.606248529072117,1,train
5.368495696895555,6.3694911567249255,8.278969508994216,1,train
8.118573179173215,4.232048694035006,7.450955735706727,1,train
4.370924473279663,9.861797426424468,1.118849311516828,1,train
4.56079067078427,8.334014405781534,4.438671052385083,1,train
5.131859170500393,8.023195940292574,5.124051000581221,1,train
9.441491749974045,4.2062520846721165,7.110981142282865,1,train
5.117222056709836,7.542448911300934,8.437607815669393,1,train
5.5854488357773,6.693553886632771,7.460270223215166,1,train
5.134573165925511,7.648455849889101,3.4552352709584504,1,train
6.7339448615090385,4.8389159365445416,9.159415782620137,1,train
9.569817399679804,4.320253514161573,4.54411665974919,1,train
5.108692621027149,7.503794390726519,5.59693322339794,1,train
8.076091683548654,4.597262400469097,6.238789208233284,1,train
7.92767075770596,4.629882378502791,7.538645905155072,1,train
6.432804830427201,6.473628241302078,1.802951928276345,1,train
3.8415784131375217,9.08940138332902,8.713948810971958,1,train
8.913678870883825,4.515410674125816,4.210477100331096,1,train
7.31403954591925,5.54217120960765,3.115920008990667,1,train
5.723916554688014,6.182459970881415,8.64573593177549,1,train
4.5000074942820945,8.641445793412203,4.195121001621273,1,train
4.068368073807379,8.115908506510515,8.382609692448455,1,train
6.125268349002639,6.057255019470255,9.231705780742004,1,train
4.289319078045743,8.87652491046981,5.969880844787622,1,train
7.646451130106385,5.776530680871709,2.6158552581460217,1,train
4.306011599516111,9.373376529950802,2.9779349991458464,1,train
6.090849985827447,5.873883594854922,5.746979695581134,1,train
6.346653245204322,6.029685716196158,7.092702218977017,1,train
7.20163745710352,6.139788344339409,2.475537571304365,1,train
5.4938744249082365,8.346443887786004,1.0207047414838262,1,train
6.610954794801065,5.287579802479852,7.145583804319146,1,train
5.462126952869195,6.518880687304365,9.48947579273599,1,train
7.415176286506653,5.035628171515161,7.626095758765487,1,train
8.218559055811188,4.555667169771407,3.9643790420474536,1,train
5.95014265446041,7.314333173989683,1.526734688903451,1,train
4.096887188805927,9.861806839022275,2.678626874737919,1,train
5.108543660808503,7.85313793620634,6.271471661323207,1,train
4.11074411601762,8.95055853736941,5.869721605368159,1,train
7.117439734540664,5.6182657120130735,6.941240600804117,1,test
9.134773158003595,4.6100560937266195,2.421741729056103,1,test
5.534200848681385,7.893336426028591,1.7419249587734942,1,test
6.360932702059174,5.6643633729861484,6.770308459602094,1,test
4.4286001001877375,8.361180149767526,9.094032847532446,1,test
9.198450851673734,4.266178915233789,4.875623588658067,1,test
7.227355977149562,4.9709734638135465,8.55429353378281,1,test
5.731686502510974,7.46358691326949,1.1711165632186964,1,test
5.922009214103576,5.929188153165907,8.09462360152904,1,test
3.6471998764076408,9.86597178973235,7.941983945805471,1,test
8.414437567355586,4.742594176377013,3.3532235058120325,1,test
5.4691789301963345,7.07590249795013,7.6977714115363876,1,test
9.017670514506731,4.54237131004811,5.658003408819693,1,test
7.227064788026504,5.574699811449819,5.206676105211539,1,test
6.384233042191611,6.244762462981503,7.040752858732043,1,test
4.843015331685559,8.473958916684497,3.825296588616994,1,test
5.23327209923199,7.511255062796767,7.890867126376379,1,test
5.136081619034688,7.074074800824114,5.735976820107782,1,test
9.268487793828504,3.656448170877968,8.662955254497689,1,test
3.785231198043923,8.697549018964015,9.76857999383681,1,test
