A,B,C,D,label,split
7.496938826248181,9.841479650158762,4.7541379398161085,4.37712511453268,1,train
5.170063325704199,8.445902465206887,8.215029355580102,2.688122361691627,1,train
9.56047224411332,7.301960137165959,5.23759672147123,5.451071536870513,1,train
5.095491587906111,8.311607302463749,8.629851683384688,6.714987032895025,1,train
6.746804204044445,6.895030225205227,7.720468889020944,2.3916011976797984,1,train
5.892819832116943,6.579650705904372,9.368266202144898,7.1120229280759215,1,train
6.95165262608554,8.325007376422592,6.259860558327167,7.034247188326347,1,train
9.42464266775743,5.829706918032034,6.753115053380525,8.985834264796189,1,train
4.394554429690619,9.123822711827469,8.684878346262035,1.5918256841596852,1,train
5.386780701203167,9.251321075782728,7.31386884803498,8.67592972137793,1,train
8.796294486973029,9.377782887870508,4.4696330242783135,8.579261986128307,1,train
5.209140113852397,9.97953347184658,6.982583784734892,7.45352201866049,1,test
7.380444448778896,5.087017024306203,9.729387272394572,9.786525808307722,1,test
