dataset_variant,model,accuracy,roc_auc,f1_macro
F1_base,CatBoost,0.9552,0.9856,0.9552
F1_base,RealMLP-TD,0.9801,0.9908,0.9801
F1_base,TabICL-v2,0.9776,0.9891,0.9776
F1_base,TabPFN-v2,0.9701,0.9886,0.9701
F1_base,TabPFN-v3,0.9801,0.9889,0.9801
F1_irrelevant,CatBoost,0.9478,0.9841,0.9477
F1_irrelevant,RealMLP-TD,0.9478,0.9859,0.9477
F1_irrelevant,TabICL-v2,0.9826,0.9912,0.9826
F1_irrelevant,TabPFN-v2,0.9726,0.9887,0.9726
F1_irrelevant,TabPFN-v3,0.9801,0.9886,0.9801
F1_noisy,CatBoost,0.8333,0.9137,0.8331
F1_noisy,RealMLP-TD,0.8507,0.9148,0.8506
F1_noisy,TabICL-v2,0.8582,0.921,0.8581
F1_noisy,TabPFN-v2,0.8483,0.9204,0.8481
F1_noisy,TabPFN-v3,0.8483,0.9216,0.8481
F2_base,CatBoost,0.9303,0.9687,0.9303
F2_base,RealMLP-TD,0.9577,0.97,0.9577
F2_base,TabICL-v2,0.9652,0.9694,0.9652
F2_base,TabPFN-v2,0.9602,0.9703,0.9601
F2_base,TabPFN-v3,0.9602,0.9706,0.9602
F2_irrelevant,CatBoost,0.9154,0.9632,0.9153
F2_irrelevant,RealMLP-TD,0.898,0.964,0.8976
F2_irrelevant,TabICL-v2,0.9577,0.9708,0.9577
F2_irrelevant,TabPFN-v2,0.9577,0.973,0.9576
F2_irrelevant,TabPFN-v3,0.9577,0.9738,0.9577
F2_noisy,CatBoost,0.8383,0.9153,0.8381
F2_noisy,RealMLP-TD,0.8433,0.9125,0.8428
F2_noisy,TabICL-v2,0.8333,0.9205,0.8328
F2_noisy,TabPFN-v2,0.8333,0.9227,0.8328
F2_noisy,TabPFN-v3,0.8308,0.9226,0.8303
R1_base,CatBoost,0.9229,0.9489,0.9016
R1_base,RealMLP-TD,0.9104,0.9534,0.8882
R1_base,TabICL-v2,0.9428,0.9636,0.9271
R1_base,TabPFN-v2,0.9378,0.9623,0.9211
R1_base,TabPFN-v3,0.9428,0.9638,0.9285
R1_imbalanced,CatBoost,0.9259,0.905,0.6722
R1_imbalanced,RealMLP-TD,0.9414,0.9045,0.7874
R1_imbalanced,TabICL-v2,0.966,0.9458,0.8832
R1_imbalanced,TabPFN-v2,0.963,0.9546,0.8736
R1_imbalanced,TabPFN-v3,0.9722,0.9572,0.9105
R1_noisy,CatBoost,0.8756,0.9198,0.8389
R1_noisy,RealMLP-TD,0.8557,0.8986,0.8102
R1_noisy,TabICL-v2,0.8905,0.9373,0.8608
R1_noisy,TabPFN-v2,0.893,0.935,0.8637
R1_noisy,TabPFN-v3,0.903,0.9432,0.8763
R2_base,CatBoost,0.7985,0.8694,0.6394
R2_base,RealMLP-TD,0.7512,0.7481,0.6123
R2_base,TabICL-v2,0.8881,0.9197,0.8446
R2_base,TabPFN-v2,0.7338,0.8053,0.5796
R2_base,TabPFN-v3,0.7289,0.7998,0.5587
R2_imbalanced,CatBoost,0.903,0.8448,0.4745
R2_imbalanced,RealMLP-TD,0.903,0.6065,0.5022
R2_imbalanced,TabICL-v2,0.9091,0.8937,0.558
R2_imbalanced,TabPFN-v2,0.9,0.8266,0.4737
R2_imbalanced,TabPFN-v3,0.9,0.8232,0.4737
R2_noisy,CatBoost,0.7612,0.8267,0.535
R2_noisy,RealMLP-TD,0.7363,0.7031,0.5501
R2_noisy,TabICL-v2,0.7985,0.858,0.6833
R2_noisy,TabPFN-v2,0.7338,0.7882,0.5727
R2_noisy,TabPFN-v3,0.7214,0.7918,0.5431
S1_base,CatBoost,0.9403,0.9893,0.9403
S1_base,RealMLP-TD,0.9378,0.9825,0.9378
S1_base,TabICL-v2,0.9527,0.9914,0.9527
S1_base,TabPFN-v2,0.9502,0.9914,0.9502
S1_base,TabPFN-v3,0.9527,0.9917,0.9527
S1_irrelevant,CatBoost,0.9403,0.9905,0.9403
S1_irrelevant,RealMLP-TD,0.9478,0.9925,0.9478
S1_irrelevant,TabICL-v2,0.9478,0.9917,0.9478
S1_irrelevant,TabPFN-v2,0.9502,0.9916,0.9502
S1_irrelevant,TabPFN-v3,0.9527,0.9916,0.9527
S1_noisy,CatBoost,0.9129,0.9703,0.9129
S1_noisy,RealMLP-TD,0.9254,0.9741,0.9254
S1_noisy,TabICL-v2,0.9229,0.9751,0.9229
S1_noisy,TabPFN-v2,0.9204,0.9745,0.9204
S1_noisy,TabPFN-v3,0.9179,0.974,0.9179
S2_base,CatBoost,0.9627,0.9953,0.9627
S2_base,RealMLP-TD,0.9627,0.9963,0.9627
S2_base,TabICL-v2,0.9751,0.996,0.9751
S2_base,TabPFN-v2,0.9701,0.996,0.9701
S2_base,TabPFN-v3,0.9701,0.996,0.9701
S2_irrelevant,CatBoost,0.9701,0.995,0.9701
S2_irrelevant,RealMLP-TD,0.9726,0.9958,0.9726
S2_irrelevant,TabICL-v2,0.9726,0.9962,0.9726
S2_irrelevant,TabPFN-v2,0.9701,0.9958,0.9701
S2_irrelevant,TabPFN-v3,0.9701,0.996,0.9701
S2_noisy,CatBoost,0.9229,0.9838,0.9229
S2_noisy,RealMLP-TD,0.9254,0.9839,0.9252
S2_noisy,TabICL-v2,0.9328,0.9879,0.9328
S2_noisy,TabPFN-v2,0.9428,0.9876,0.9428
S2_noisy,TabPFN-v3,0.9403,0.9878,0.9403
