dataset_variant,model,accuracy,roc_auc,f1_macro
multi_op_clean,CatBoost,0.9581,0.9773,0.9507
multi_op_clean,RealMLP-TD,0.9276,0.964,0.9147
multi_op_clean,TabICL-v2,0.9581,0.9774,0.9508
multi_op_clean,TabPFN-v2,0.9438,0.9739,0.9334
multi_op_clean,TabPFN-v3,0.9629,0.9775,0.9564
multi_op_noisy,CatBoost,0.9562,0.9689,0.9477
multi_op_noisy,RealMLP-TD,0.8952,0.9399,0.8736
multi_op_noisy,TabICL-v2,0.9705,0.9731,0.9647
multi_op_noisy,TabPFN-v2,0.9667,0.973,0.96
multi_op_noisy,TabPFN-v3,0.9676,0.9731,0.9612
multi_op_overlap,CatBoost,0.9705,0.9796,0.9658
multi_op_overlap,RealMLP-TD,0.94,0.9763,0.9312
multi_op_overlap,TabICL-v2,0.9686,0.98,0.9638
multi_op_overlap,TabPFN-v2,0.9657,0.9799,0.9605
multi_op_overlap,TabPFN-v3,0.9667,0.9789,0.9617
xor_arith_clean,CatBoost,0.9648,0.9849,0.9635
xor_arith_clean,RealMLP-TD,0.941,0.979,0.9387
xor_arith_clean,TabICL-v2,0.9619,0.9838,0.9603
xor_arith_clean,TabPFN-v2,0.9657,0.9842,0.9644
xor_arith_clean,TabPFN-v3,0.9695,0.9854,0.9683
xor_arith_noisy,CatBoost,0.9371,0.9656,0.9348
xor_arith_noisy,RealMLP-TD,0.8943,0.9458,0.8897
xor_arith_noisy,TabICL-v2,0.9295,0.964,0.9258
xor_arith_noisy,TabPFN-v2,0.9505,0.9645,0.9481
xor_arith_noisy,TabPFN-v3,0.94,0.9658,0.937
xor_arith_scaled,CatBoost,0.9419,0.9729,0.9399
xor_arith_scaled,RealMLP-TD,0.9438,0.9704,0.9415
xor_arith_scaled,TabICL-v2,0.9457,0.9745,0.9436
xor_arith_scaled,TabPFN-v2,0.9524,0.976,0.9505
xor_arith_scaled,TabPFN-v3,0.96,0.9773,0.9585
