dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
attention_clean_base,CatBoost,0,1200,8,1000,200,0.945,0.9443108974358975,0.9457843432820823,0.9443108974358975,0.9448331201885705,1.3840489173308015,0.001148054376244545,1.385196971707046,0.14644399700102312,0.98828125,success,
attention_clean_base,RealMLP-TD,0,1200,8,1000,200,0.96,0.9591346153846154,0.961352657004831,0.9591346153846154,0.9598554797270173,16.118177825585008,0.049373514018952847,16.16755133960396,0.12880806624889374,0.9967948717948718,success,
attention_clean_base,TabPFN-v2,0,1200,8,1000,200,0.97,0.969551282051282,0.9704937775993576,0.969551282051282,0.9699248120300752,2.8927283687517047,2.203891380690038,5.096619749441743,0.06478593498468399,0.9975961538461539,success,
attention_clean_base,TabPFN-v3,0,1200,8,1000,200,0.97,0.969150641025641,0.9714170692431562,0.969150641025641,0.969891609795263,3.4293718710541725,1.1080421833321452,4.537414054386318,0.07072935998439789,0.9977964743589745,success,
attention_clean_base,TabICL-v2,0,1200,8,1000,200,0.94,0.9391025641025641,0.9412238325281803,0.9391025641025641,0.9397832195905259,0.850396690890193,0.7862390549853444,1.6366357458755374,0.10366199165582657,0.9933894230769231,success,
attention_dilution_50pct,CatBoost,0,2200,8,2000,200,0.87,0.8689903846153846,0.8707729468599035,0.8689903846153846,0.8695303091128062,1.4538499470800161,0.0022232765331864357,1.4560732236132026,0.4474854380534306,0.930088141025641,success,
attention_dilution_50pct,RealMLP-TD,0,2200,8,2000,200,0.945,0.9447115384615384,0.9451127819548872,0.9447115384615384,0.9448883990079912,28.25482033751905,0.11751630529761314,28.372336642816663,0.4491163492202759,0.9848758012820512,success,
attention_dilution_50pct,TabPFN-v2,0,2200,8,2000,200,0.89,0.8878205128205128,0.8949408404732762,0.8878205128205128,0.8891017239641092,1.1265508383512497,3.8636610228568316,4.990211861208081,0.41491058468818665,0.9776141826923077,success,
attention_dilution_50pct,TabPFN-v3,0,2200,8,2000,200,0.945,0.9447115384615384,0.9451127819548872,0.9447115384615384,0.9448883990079912,4.347954910248518,1.6661198325455189,6.014074742794037,0.37440788745880127,0.9905849358974359,success,
attention_dilution_50pct,TabICL-v2,0,2200,8,2000,200,0.88,0.8782051282051282,0.8831168831168831,0.8782051282051282,0.8792270531400965,0.9390340819954872,5.5745081109926105,6.513542192988098,0.4287993609905243,0.9647435897435898,success,
attention_dilution_80pct,CatBoost,0,5200,8,5000,200,0.77,0.7700320512820513,0.7697078831532613,0.7700320512820513,0.769792813532179,2.0853810720145702,0.0012472067028284073,2.0866282787173986,0.5899078966678662,0.8338341346153846,success,
attention_dilution_80pct,RealMLP-TD,0,5200,8,5000,200,0.845,0.8417467948717949,0.8539786284884324,0.8417467948717949,0.8429226520736743,68.60597580764443,0.12299380730837584,68.7289696149528,0.5680092573165894,0.9350961538461537,success,
attention_dilution_80pct,TabPFN-v2,0,5200,8,5000,200,0.79,0.7888621794871795,0.7902576489533011,0.7888621794871795,0.7892412685668406,1.4211289705708623,20.28962613735348,21.710755107924342,0.6102002263069153,0.8645332532051282,success,
attention_dilution_80pct,TabPFN-v3,0,5200,8,5000,200,0.82,0.8185096153846154,0.8212121212121213,0.8185096153846154,0.8191136569189026,3.7878075977787375,6.937702933326364,10.725510531105101,0.5958807468414307,0.9118589743589743,success,
attention_dilution_80pct,TabICL-v2,0,5200,8,5000,200,0.79,0.7880608974358975,0.791801948051948,0.7880608974358975,0.788647342995169,1.0764598716050386,24.175124124623835,25.251583996228874,0.6096006631851196,0.8533653846153847,success,
attention_clean_base,CatBoost,1,1200,8,1000,200,0.975,0.9752415458937198,0.9745251733494121,0.9752415458937198,0.9748585795097423,1.2755450047552586,0.0022767316550016403,1.2778217364102602,0.09822491171973918,0.9977858293075684,success,
attention_clean_base,RealMLP-TD,1,1200,8,1000,200,0.97,0.9681964573268921,0.9719967532467533,0.9681964573268921,0.9696969696969697,14.916430936194956,0.04966147895902395,14.96609241515398,0.11015548557043076,0.9994967793880837,success,
attention_clean_base,TabPFN-v2,1,1200,8,1000,200,0.995,0.9953703703703703,0.9946236559139785,0.9953703703703703,0.9949717159019484,1.3567877551540732,1.2743090316653252,2.6310967868193984,0.03804492577910423,1.0,success,
attention_clean_base,TabPFN-v3,1,1200,8,1000,200,0.99,0.9907407407407407,0.9893617021276595,0.9907407407407407,0.9899507587177168,3.6218919856473804,0.6936212442815304,4.315513229928911,0.02769724652171135,1.0,success,
attention_clean_base,TabICL-v2,1,1200,8,1000,200,0.98,0.9814814814814814,0.9791666666666667,0.9814814814814814,0.9799277398635087,0.9497029138728976,0.8044999642297626,1.7542028781026602,0.04678371548652649,0.999597423510467,success,
attention_dilution_50pct,CatBoost,1,2200,8,2000,200,0.91,0.9102254428341385,0.9090726615816941,0.9102254428341385,0.9095568284594513,1.4700129255652428,0.0011409381404519081,1.4711538637056947,0.39797726192310906,0.9702093397745571,success,
attention_dilution_50pct,RealMLP-TD,1,2200,8,2000,200,0.93,0.9319645732689211,0.9293717486994798,0.9319645732689211,0.9298245614035088,27.33145623560995,0.04797750432044268,27.37943373993039,0.39808762073516846,0.9879227053140097,success,
attention_dilution_50pct,TabPFN-v2,1,2200,8,2000,200,0.97,0.9714170692431562,0.969150641025641,0.9714170692431562,0.969891609795263,1.4679250735789537,3.8812948623672128,5.3492199359461665,0.3521672785282135,0.9982890499194848,success,
attention_dilution_50pct,TabPFN-v3,1,2200,8,2000,200,0.965,0.9667874396135265,0.9642177960164148,0.9667874396135265,0.964893803756363,3.748573189601302,1.7060714876279235,5.454644677229226,0.3278864324092865,0.9981884057971014,success,
attention_dilution_50pct,TabICL-v2,1,2200,8,2000,200,0.955,0.9567230273752013,0.9542087879091182,0.9567230273752013,0.9548634619724667,0.9455834049731493,5.579391460865736,6.524974865838885,0.37812477350234985,0.9918478260869565,success,
attention_dilution_80pct,CatBoost,1,5200,8,5000,200,0.765,0.7622785829307568,0.7637918817694098,0.7622785829307568,0.7628598097832942,2.1089675864204764,0.0013067061081528664,2.1102742925286293,0.5707657927344616,0.860305958132045,success,
attention_dilution_80pct,RealMLP-TD,1,5200,8,5000,200,0.855,0.8568840579710145,0.8546354635463547,0.8568840579710145,0.8547057792028858,68.34113645367324,0.14338811580091715,68.48452456947416,0.5612521767616272,0.9528985507246377,success,
attention_dilution_80pct,TabPFN-v2,1,5200,8,5000,200,0.915,0.9148550724637681,0.914229725655713,0.9148550724637681,0.9145191703331239,1.4585183886811137,20.24443094059825,21.702949329279363,0.5743699669837952,0.974537037037037,success,
attention_dilution_80pct,TabPFN-v3,1,5200,8,5000,200,0.92,0.9178743961352657,0.9212662337662337,0.9178743961352657,0.9191919191919191,3.6629303535446525,6.722416836768389,10.385347190313041,0.5521802306175232,0.982085346215781,success,
attention_dilution_80pct,TabICL-v2,1,5200,8,5000,200,0.885,0.8870772946859904,0.8846384638463847,0.8870772946859904,0.8847666524712543,0.9451776575297117,24.13787765428424,25.08305531181395,0.5747318267822266,0.9516404991948471,success,
attention_clean_base,CatBoost,2,1200,8,1000,200,0.945,0.9456140350877194,0.9446778711484594,0.9456140350877194,0.9449325423643964,1.245564853772521,0.0012575211003422737,1.2468223748728633,0.1293939354731712,0.9911779448621554,success,
attention_clean_base,RealMLP-TD,2,1200,8,1000,200,0.955,0.9566416040100251,0.9556822729091636,0.9566416040100251,0.9549898727213624,14.950690458528697,0.04586885590106249,14.99655931442976,0.15488404035568237,0.9926817042606516,success,
attention_clean_base,TabPFN-v2,2,1200,8,1000,200,0.975,0.975187969924812,0.9747596153846154,0.975187969924812,0.9749492722763596,1.4271041844040155,1.2867243029177189,2.7138284873217344,0.06531912088394165,0.9977944862155388,success,
attention_clean_base,TabPFN-v3,2,1200,8,1000,200,0.97,0.9704260651629073,0.9696727054348915,0.9704260651629073,0.9699519230769231,3.650444488041103,0.9898933190852404,4.640337807126343,0.057287197560071945,0.9983959899749373,success,
attention_clean_base,TabICL-v2,2,1200,8,1000,200,0.975,0.975187969924812,0.9747596153846154,0.975187969924812,0.9749492722763596,0.8980912528932095,0.6774670090526342,1.5755582619458437,0.06093893200159073,0.9977944862155388,success,
attention_dilution_50pct,CatBoost,2,2200,8,2000,200,0.895,0.8944862155388471,0.8949217181854676,0.8944862155388471,0.894681411269089,1.4999644421041012,0.002365655265748501,1.5023300973698497,0.37544416505340567,0.9676190476190476,success,
attention_dilution_50pct,RealMLP-TD,2,2200,8,2000,200,0.94,0.9408521303258146,0.9397939793979397,0.9408521303258146,0.9399459513562206,28.057386475615203,0.0462834145873785,28.103669890202582,0.37780502438545227,0.9854636591478697,success,
attention_dilution_50pct,TabPFN-v2,2,2200,8,2000,200,0.955,0.9541353383458646,0.9559178743961352,0.9541353383458646,0.954809068313625,1.0397948008030653,3.892158436588943,4.931953237392008,0.3423553705215454,0.9946365914786968,success,
attention_dilution_50pct,TabPFN-v3,2,2200,8,2000,200,0.965,0.9646616541353383,0.9651746286631875,0.9646616541353383,0.964893803756363,3.4592378735542297,1.763633381575346,5.222871255129576,0.3289450407028198,0.9974937343358395,success,
attention_dilution_50pct,TabICL-v2,2,2200,8,2000,200,0.95,0.9493734335839599,0.9504572404783439,0.9493734335839599,0.9498193496587716,0.7938811117783189,5.613716212101281,6.4075973238796,0.35140296816825867,0.9933834586466166,success,
attention_dilution_80pct,CatBoost,2,5200,8,5000,200,0.815,0.8167919799498746,0.8165064102564102,0.8167919799498746,0.8149953748843721,2.0887261386960745,0.0022589061409235,2.090985044836998,0.5329289192878087,0.9082706766917293,success,
attention_dilution_80pct,RealMLP-TD,2,5200,8,5000,200,0.9,0.9037593984962407,0.9076829638627391,0.9037593984962407,0.8999099189270343,67.23387356754392,0.10829245764762163,67.34216602519155,0.5556688904762268,0.9812531328320802,success,
attention_dilution_80pct,TabPFN-v2,2,5200,8,5000,200,0.89,0.8902255639097745,0.8896006405765189,0.8902255639097745,0.889823717948718,1.6203766167163849,20.3079295437783,21.928306160494685,0.5601398944854736,0.960501253132832,success,
attention_dilution_80pct,TabPFN-v3,2,5200,8,5000,200,0.915,0.9170426065162907,0.9166666666666667,0.9170426065162907,0.9149978749468737,3.3965181782841682,7.050677220337093,10.447195398621261,0.5303232669830322,0.9820551378446115,success,
attention_dilution_80pct,TabICL-v2,2,5200,8,5000,200,0.875,0.8744360902255639,0.8748494580489763,0.8744360902255639,0.8746207277012964,1.06879794690758,24.208137466572225,25.276935413479805,0.5704240202903748,0.9315288220551379,success,
