dataset_module,dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
context_length,attention_clean_base,CatBoost,0,1200,5,900,300,0.7433333333333333,0.7433333333333334,0.743864415838938,0.7433333333333334,0.7431935164700781,1.4334470489993691,0.0014991862699389458,1.434946235269308,0.495221313536632,0.8376,success,
context_length,attention_clean_base,RealMLP-TD,0,1200,5,900,300,0.7533333333333333,0.7533333333333334,0.7533783783783784,0.7533333333333334,0.753322369883106,12.155565259046853,0.0514277582988143,12.206993017345667,0.5057420134544373,0.8306666666666667,success,
context_length,attention_clean_base,TabPFN-v2,0,1200,5,900,300,0.7633333333333333,0.7633333333333333,0.7642847584638031,0.7633333333333333,0.7631201414606479,2.9793974524363875,2.3597343806177378,5.339131833054125,0.49682560563087463,0.8379555555555556,success,
context_length,attention_clean_base,TabPFN-v3,0,1200,5,900,300,0.7533333333333333,0.7533333333333333,0.7544642857142858,0.7533333333333333,0.7530589543937709,3.5322944782674313,1.6155006438493729,5.147795122116804,0.48723846673965454,0.8429333333333333,success,
context_length,attention_clean_base,TabICL-v2,0,1200,5,900,300,0.7533333333333333,0.7533333333333334,0.7535136096779933,0.7533333333333334,0.7532894736842105,0.9191513964906335,0.6392477173358202,1.5583991138264537,0.4827585816383362,0.8464444444444444,success,
context_length,attention_dilution_50feat_correlated,CatBoost,0,1200,50,900,300,0.69,0.69,0.6904146808605407,0.69,0.6898311302820425,2.196678846143186,0.001546533778309822,2.198225379921496,0.5790513322823094,0.7608888888888888,success,
context_length,attention_dilution_50feat_correlated,RealMLP-TD,0,1200,50,900,300,0.68,0.6799999999999999,0.6815817790530847,0.6799999999999999,0.6793015901296156,10.75870561785996,0.047317552380263805,10.806023170240223,0.6124059557914734,0.7733777777777777,success,
context_length,attention_dilution_50feat_correlated,TabPFN-v2,0,1200,50,900,300,0.6933333333333334,0.6933333333333334,0.6968325791855203,0.6933333333333334,0.6919642857142857,1.6770627293735743,5.9645420936867595,7.641604823060334,0.5846976637840271,0.7522222222222223,success,
context_length,attention_dilution_50feat_correlated,TabPFN-v3,0,1200,50,900,300,0.6866666666666666,0.6866666666666666,0.6888149613378889,0.6866666666666666,0.6857728650383312,2.925499491393566,1.188847590237856,4.114347081631422,0.5787606835365295,0.7585333333333334,success,
context_length,attention_dilution_50feat_correlated,TabICL-v2,0,1200,50,900,300,0.6433333333333333,0.6433333333333333,0.6461988304093567,0.6433333333333333,0.6415770609318996,1.464106890372932,1.3685513697564602,2.832658260129392,0.6251511573791504,0.7021777777777778,success,
