dataset_variant,model,accuracy,roc_auc,f1_macro
attention_clean_base,CatBoost,0.72,0.8074,0.7199
attention_clean_base,RealMLP-TD,0.7256,0.8034,0.7246
attention_clean_base,TabICL-v2,0.7433,0.8224,0.7432
attention_clean_base,TabPFN-v2,0.7444,0.8211,0.7443
attention_clean_base,TabPFN-v3,0.7411,0.824,0.741
attention_dilution_1000feat,CatBoost,0.6478,0.6861,0.6463
attention_dilution_1000feat,RealMLP-TD,0.5567,0.5823,0.556
attention_dilution_1000feat,TabICL-v2,0.54,0.5697,0.5396
attention_dilution_1000feat,TabPFN-v3,0.6333,0.694,0.6291
attention_dilution_100feat,CatBoost,0.6411,0.7019,0.6394
attention_dilution_100feat,RealMLP-TD,0.6478,0.6826,0.6469
attention_dilution_100feat,TabICL-v2,0.6467,0.6997,0.6452
attention_dilution_100feat,TabPFN-v2,0.6422,0.6959,0.641
attention_dilution_100feat,TabPFN-v3,0.64,0.697,0.6383
attention_dilution_150feat_correlated,CatBoost,0.6344,0.7059,0.6333
attention_dilution_150feat_correlated,RealMLP-TD,0.6056,0.6494,0.605
attention_dilution_150feat_correlated,TabICL-v2,0.6389,0.6907,0.6376
attention_dilution_150feat_correlated,TabPFN-v2,0.6467,0.7017,0.6451
attention_dilution_150feat_correlated,TabPFN-v3,0.6567,0.7162,0.655
attention_dilution_200feat,CatBoost,0.6489,0.7007,0.6464
attention_dilution_200feat,RealMLP-TD,0.6222,0.6507,0.6207
attention_dilution_200feat,TabICL-v2,0.6356,0.6882,0.6343
attention_dilution_200feat,TabPFN-v2,0.6467,0.6922,0.6452
attention_dilution_200feat,TabPFN-v3,0.6444,0.6967,0.6429
attention_dilution_500feat,CatBoost,0.63,0.6826,0.6284
attention_dilution_500feat,RealMLP-TD,0.5644,0.5824,0.5576
attention_dilution_500feat,TabICL-v2,0.6078,0.6515,0.6071
attention_dilution_500feat,TabPFN-v2,0.5989,0.6513,0.5978
attention_dilution_500feat,TabPFN-v3,0.64,0.695,0.6371
attention_dilution_50feat,CatBoost,0.6689,0.7254,0.6683
attention_dilution_50feat,RealMLP-TD,0.6144,0.6802,0.6083
attention_dilution_50feat,TabICL-v2,0.6367,0.6929,0.6348
attention_dilution_50feat,TabPFN-v2,0.6467,0.6977,0.645
attention_dilution_50feat,TabPFN-v3,0.6556,0.7196,0.6542
attention_dilution_50feat_correlated,CatBoost,0.6767,0.7385,0.6757
attention_dilution_50feat_correlated,RealMLP-TD,0.6567,0.7286,0.6538
attention_dilution_50feat_correlated,TabICL-v2,0.6378,0.6988,0.636
attention_dilution_50feat_correlated,TabPFN-v2,0.6844,0.7389,0.6834
attention_dilution_50feat_correlated,TabPFN-v3,0.6778,0.7517,0.6771
attention_dilution_5feat,CatBoost,0.72,0.8074,0.7199
attention_dilution_5feat,RealMLP-TD,0.7256,0.8034,0.7246
attention_dilution_5feat,TabICL-v2,0.7433,0.8224,0.7432
attention_dilution_5feat,TabPFN-v2,0.7444,0.8211,0.7443
attention_dilution_5feat,TabPFN-v3,0.7411,0.824,0.741
attention_fewshot_50train,CatBoost,0.72,0.8074,0.7199
attention_fewshot_50train,RealMLP-TD,0.7256,0.8034,0.7246
attention_fewshot_50train,TabICL-v2,0.7433,0.8224,0.7432
attention_fewshot_50train,TabPFN-v2,0.7444,0.8211,0.7443
attention_fewshot_50train,TabPFN-v3,0.7411,0.824,0.741
