dataset_variant,model,accuracy,f1_macro,roc_auc
attention_clean_base,CatBoost,0.9133,0.9132,0.9845
attention_clean_base,RealMLP-TD,0.9333,0.9331,0.9873
attention_clean_base,TabICL-v2,0.9767,0.9766,0.9981
attention_clean_base,TabPFN-v2,0.955,0.9548,0.9958
attention_clean_base,TabPFN-v3,0.9633,0.9632,0.9963
attention_dilution_150feat,CatBoost,0.77,0.7697,0.8812
attention_dilution_150feat,RealMLP-TD,0.745,0.7435,0.8281
attention_dilution_150feat,TabICL-v2,0.7317,0.7316,0.8049
attention_dilution_150feat,TabPFN-v2,0.7333,0.7332,0.8059
attention_dilution_150feat,TabPFN-v3,0.7383,0.7382,0.8119
attention_dilution_50feat,CatBoost,0.845,0.8448,0.9304
attention_dilution_50feat,RealMLP-TD,0.905,0.9047,0.9682
attention_dilution_50feat,TabICL-v2,0.7317,0.7315,0.8054
attention_dilution_50feat,TabPFN-v2,0.845,0.8447,0.9079
attention_dilution_50feat,TabPFN-v3,0.79,0.7898,0.8843
