dataset_variant,model,accuracy,roc_auc,f1_macro
distance_sweep_d1,CatBoost,0.9373,0.9894,0.9373
distance_sweep_d1,TabICL-v2,0.928,0.9857,0.9279
distance_sweep_d1,TabPFN-v2,0.9293,0.9912,0.9293
distance_sweep_d1,TabPFN-v3,0.9387,0.989,0.9386
distance_sweep_d10,CatBoost,0.9427,0.9893,0.9427
distance_sweep_d10,TabICL-v2,0.8587,0.9484,0.8586
distance_sweep_d10,TabPFN-v2,0.9413,0.9887,0.9413
distance_sweep_d10,TabPFN-v3,0.924,0.9821,0.924
distance_sweep_d14,CatBoost,0.9507,0.9873,0.9506
distance_sweep_d14,TabICL-v2,0.7907,0.875,0.7903
distance_sweep_d14,TabPFN-v2,0.948,0.991,0.948
distance_sweep_d14,TabPFN-v3,0.944,0.9884,0.944
distance_sweep_d19,CatBoost,0.9467,0.9896,0.9466
distance_sweep_d19,TabICL-v2,0.92,0.9845,0.9199
distance_sweep_d19,TabPFN-v2,0.9467,0.9915,0.9466
distance_sweep_d19,TabPFN-v3,0.9413,0.988,0.9413
distance_sweep_d3,CatBoost,0.9587,0.9916,0.9586
distance_sweep_d3,TabICL-v2,0.9173,0.9822,0.9173
distance_sweep_d3,TabPFN-v2,0.9547,0.9934,0.9546
distance_sweep_d3,TabPFN-v3,0.9387,0.9902,0.9386
distance_sweep_d6,CatBoost,0.9493,0.9885,0.9493
distance_sweep_d6,TabICL-v2,0.92,0.982,0.9198
distance_sweep_d6,TabPFN-v2,0.948,0.9905,0.948
distance_sweep_d6,TabPFN-v3,0.9267,0.9874,0.9265
haystack_sweep_p10,CatBoost,0.944,0.9903,0.944
haystack_sweep_p10,TabICL-v2,0.9387,0.9883,0.9386
haystack_sweep_p10,TabPFN-v2,0.944,0.9907,0.944
haystack_sweep_p10,TabPFN-v3,0.944,0.9911,0.944
haystack_sweep_p160,CatBoost,0.9267,0.9718,0.9266
haystack_sweep_p160,TabICL-v2,0.5027,0.4909,0.4857
haystack_sweep_p160,TabPFN-v2,0.6987,0.7242,0.6706
haystack_sweep_p160,TabPFN-v3,0.5267,0.5337,0.4808
haystack_sweep_p20,CatBoost,0.9507,0.9932,0.9507
haystack_sweep_p20,TabICL-v2,0.9187,0.9859,0.9186
haystack_sweep_p20,TabPFN-v2,0.9533,0.9941,0.9533
haystack_sweep_p20,TabPFN-v3,0.9547,0.9925,0.9547
haystack_sweep_p40,CatBoost,0.9573,0.9911,0.9573
haystack_sweep_p40,TabICL-v2,0.8133,0.8859,0.8131
haystack_sweep_p40,TabPFN-v2,0.9493,0.993,0.9493
haystack_sweep_p40,TabPFN-v3,0.936,0.9891,0.9359
haystack_sweep_p80,CatBoost,0.9413,0.9826,0.9412
haystack_sweep_p80,TabICL-v2,0.8267,0.9241,0.8262
haystack_sweep_p80,TabPFN-v2,0.9093,0.9736,0.9087
haystack_sweep_p80,TabPFN-v3,0.864,0.938,0.8617
role_sanity_2roles_adjacent,CatBoost,0.945,0.9908,0.945
role_sanity_2roles_adjacent,TabICL-v2,0.7843,0.8743,0.7843
role_sanity_2roles_adjacent,TabPFN-v2,0.9371,0.9812,0.9371
role_sanity_2roles_adjacent,TabPFN-v3,0.9329,0.9852,0.9329
role_sanity_2roles_farsplit,CatBoost,0.9464,0.9898,0.9464
role_sanity_2roles_farsplit,TabICL-v2,0.8257,0.9067,0.8255
role_sanity_2roles_farsplit,TabPFN-v2,0.9036,0.9602,0.903
role_sanity_2roles_farsplit,TabPFN-v3,0.9121,0.9774,0.912
