dataset,model,n_features,selection,repeat,fold,n_train,n_test,status,r2,mae,rmse,fit_seconds,predict_seconds,selected_feature_hash,error
GSE40279,tabpfn_v2_5,100,train_correlation,0,0,131,33,ok,0.7680108255773113,5.249875270959103,6.589975490789138,8.264617958921008,2.8168086250079796,4f25c464ac87bbb8,
GSE40279,tabpfn_v3,100,train_correlation,0,0,131,33,ok,0.7491098411715305,5.239060835404829,6.853173910852643,0.4825038749258965,2.0874929170822725,4f25c464ac87bbb8,
GSE40279,tabicl_v2,100,train_correlation,0,0,131,33,ok,0.7456824943099284,5.208144101229581,6.899824865357438,39.35525925003458,2.0687011249829084,4f25c464ac87bbb8,
GSE40279,tabpfn_v2_5,200,train_correlation,0,0,131,33,ok,0.8423108715875985,4.273359125310725,5.433139000048065,2.980963750043884,3.9548367919633165,160533288abd137c,
GSE40279,tabpfn_v3,200,train_correlation,0,0,131,33,ok,0.8125075111937407,4.830707087661281,5.924365943304006,0.5290853750193492,2.6367841250030324,160533288abd137c,
GSE40279,tabicl_v2,200,train_correlation,0,0,131,33,ok,0.7921981329474587,4.9083239815451885,6.2369844651960875,0.5206693749642,4.271800582995638,160533288abd137c,
GSE40279,xgboost,100,train_correlation,0,0,131,33,ok,0.7795867188389465,5.06737807302764,6.423456975349723,0.1740816249512136,0.0018547920044511557,4f25c464ac87bbb8,
GSE40279,ridge,100,train_correlation,0,0,131,33,ok,0.6461527587207835,6.2144143075654,8.13875259283632,0.007297666044905782,9.733391925692558e-05,4f25c464ac87bbb8,
GSE40279,xgboost,200,train_correlation,0,0,131,33,ok,0.717269702005364,5.784086747602983,7.275052222356057,0.17733474995475262,0.00041520793456584215,160533288abd137c,
GSE40279,ridge,200,train_correlation,0,0,131,33,ok,0.757628134884612,5.247509811863755,6.735828825857394,0.0008300839690491557,5.7416968047618866e-05,160533288abd137c,
GSE40279,tabpfn_v2_5,200,train_correlation,1,0,131,33,ok,0.6876977986924011,4.827805605801669,5.972591685210511,11.876366999931633,22.27963554195594,c765001ce5a21323,
GSE40279,tabpfn_v3,200,train_correlation,1,0,131,33,ok,0.7639558132716386,4.240435629179983,5.192445623282983,1.7453613749239594,20.165362625033595,c765001ce5a21323,
GSE40279,tabicl_v2,200,train_correlation,1,0,131,33,ok,0.7103877137595878,4.442875139641039,5.751535353037326,1.639011999941431,20.24243312503677,c765001ce5a21323,
GSE40279,tabpfn_v2_5,200,train_correlation,2,0,131,33,ok,0.8321456723141701,3.714378588127367,4.912075080255573,0.7280408749356866,28.686466375016607,6f5b0f0cf7c4b5dd,
GSE40279,tabpfn_v3,200,train_correlation,2,0,131,33,ok,0.888304371126768,3.3039943810665244,4.006976668724928,3.5831964999670163,29.530879249912687,6f5b0f0cf7c4b5dd,
GSE40279,tabicl_v2,200,train_correlation,2,0,131,33,ok,0.8961822978702809,3.0631652600837476,3.863086483910612,2.223795957979746,20.771929250098765,6f5b0f0cf7c4b5dd,
GSE40279,xgboost,200,train_correlation,1,0,131,33,ok,0.6472397465319397,5.421795006954309,6.347681471434765,0.697445375029929,0.0034614159958437085,c765001ce5a21323,
GSE40279,ridge,200,train_correlation,1,0,131,33,ok,0.6951447146733465,4.830829042376894,5.90095315573679,0.01941854099277407,0.0005032080225646496,c765001ce5a21323,
GSE40279,xgboost,200,train_correlation,2,0,131,33,ok,0.8576996573052191,3.7957953250769414,4.522740789324608,0.7997271670028567,0.001704583060927689,6f5b0f0cf7c4b5dd,
GSE40279,ridge,200,train_correlation,2,0,131,33,ok,0.7558221715639656,4.557019782788826,5.92450183601435,0.0026701670140028,0.0004479170311242342,6f5b0f0cf7c4b5dd,
