dataset_module,dataset_variant,logical_operator,n_noise_features,model,seed,n_samples,n_relevant_features,n_features,train_samples,test_samples,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
logical_dataset,L3,XOR,0,catboost,0,1000,4,4,750,250,0.495,0.948,0.948220686123912,0.9492270190518955,0.948220686123912,0.9479791916766708,2.62008630001219,0.0279030000092461,2.647989300021436,0.2356558514964978,0.986879160266257,success,nan
logical_dataset,L3,XOR,0,realmlp,0,1000,4,4,750,250,0.495,0.936,0.9361239119303636,0.9363473360655736,0.9361239119303636,0.9359959037378393,14.20232159999432,0.0968737000366672,14.299195300030988,0.1832659600886422,0.9849590373783922,success,nan
logical_dataset,L3,XOR,0,tabicl_v2,0,1000,4,4,750,250,0.495,0.92,0.9201228878648232,0.9203381147540984,0.9201228878648232,0.919994879672299,1.4559418000280857,15.72802139999112,17.183963200019207,0.2452991418880235,0.9765745007680492,success,nan
logical_dataset,L3,XOR,0,limix,0,1000,4,4,750,250,0.495,0.888,0.8880568356374807,0.8880568356374807,0.8880568356374807,0.888,0.0011582000297494,10.453494899964426,10.454653099994175,0.4073816300011664,0.9715181771633384,success,nan
logical_dataset,L3,XOR,0,tabpfn_v2,0,1000,4,4,750,250,0.495,0.852,0.8523425499231951,0.8545893719806763,0.8523425499231951,0.8518079430942501,1.794798599963542,32.27284720004536,34.067645800008904,0.3387232319306123,0.9492447516641064,success,nan
logical_dataset,L3,XOR,0,tabpfn_v3,0,1000,4,4,750,250,0.495,0.94,0.9401561699948796,0.940579153052726,0.9401561699948796,0.9399913587556608,3.778410299972165,37.05660720000742,40.83501749997959,0.1715864882749083,0.9864951356886842,success,nan
logical_dataset,L3,XOR,0,catboost,1,1000,4,4,750,250,0.477,0.96,0.9591378536147284,0.9610305958132046,0.9591378536147284,0.9598354861512756,3.616854400024749,0.0510999000398442,3.6679543000645936,0.1865074615269266,0.9903136827249984,success,nan
logical_dataset,L3,XOR,0,realmlp,1,1000,4,4,750,250,0.477,0.904,0.90185387131952,0.9076062203136184,0.90185387131952,0.903250773993808,16.814912499976344,0.108748700004071,16.923661199980415,0.2124178188635461,0.974533324780294,success,nan
logical_dataset,L3,XOR,0,tabicl_v2,1,1000,4,4,750,250,0.477,0.852,0.851850663929694,0.8516025641025642,0.851850663929694,0.8517129162057744,1.895238299970515,14.791118399996776,16.68635669996729,0.4073417122319963,0.9341202129706844,success,nan
logical_dataset,L3,XOR,0,limix,1,1000,4,4,750,250,0.477,0.924,0.9224773879017256,0.9261128364389234,0.9224773879017256,0.9235584737443474,0.0008162000449374,4.339468700054567,4.340284900099505,0.3881961348658778,0.9699788312271472,success,nan
logical_dataset,L3,XOR,0,tabpfn_v2,1,1000,4,4,750,250,0.477,0.888,0.8888960164218359,0.888,0.8888960164218359,0.8879354508196722,0.5914598999661393,22.43780740001239,23.029267299978528,0.4224414611619548,0.9586246712425428,success,nan
logical_dataset,L3,XOR,0,tabpfn_v3,1,1000,4,4,750,250,0.477,0.932,0.9320354095836808,0.9317307692307693,0.9320354095836808,0.9318680966350856,1.961029199999757,21.342581399949268,23.303610599949025,0.2155656593926267,0.98069151324652,success,nan
