model,n_noise_features,n_successful_seeds,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,total_seconds_mean,total_seconds_std
catboost,0,5,0.9454103295742005,0.011816340548452802,0.9456,0.012198360545581504,0.9454733021450294,0.01216807404909702,0.9891388922826547,0.0033850553652682996,0.20672010965603554,0.02851172380282597,2.932858800026588,0.49206816867928294
catboost,2,5,0.8409968545723151,0.0321384132899907,0.8408,0.03229860678109816,0.840546096967523,0.0324475667511323,0.9164607483740477,0.030835476975261844,0.4303825460727414,0.036140926661368825,3.0570373800001107,0.40893291043304353
catboost,4,5,0.6985681967433733,0.03365486453102446,0.6992,0.03398823325799681,0.6983695351632031,0.03367276333781587,0.7913250675478696,0.0200359660296126,0.5554627211748729,0.017512941435190197,3.361526879994199,0.10408619561519783
catboost,8,5,0.5852104891038044,0.04206566766122586,0.588,0.04089009660052176,0.584480861747988,0.04211346331981715,0.6106668434293022,0.058892292522215,0.6928000372833573,0.0372881755395107,3.6003469399991443,0.3539676940268432
limix,0,5,0.8947829645046346,0.023157594628715743,0.8952,0.023392306427541535,0.8949225819441595,0.023237326172159522,0.9669706903516364,0.010095219887981234,0.40777775748307493,0.01788542720826813,5.8164095200249,2.615894149396715
limix,2,5,0.7292099223299017,0.08408364159100094,0.7304,0.0845032543752015,0.7287391116939612,0.08461174844682245,0.81954462345139,0.09381016586401247,0.5997649339399027,0.06206544423320183,6.463072500005365,0.5418017348527487
limix,4,5,0.5269174040789262,0.025955844046871047,0.54,0.015748015748023637,0.45976800109625016,0.10445753491915126,0.5228519916149095,0.04560318398885235,0.6906133470954584,0.0028262647736351427,8.606697660009377,1.198240193802451
limix,8,5,0.5100752783904312,0.012677966860703162,0.5224,0.01283744522870499,0.4535528128912909,0.0848750286610798,0.5186568083377845,0.03409432009771981,0.6906802889985453,0.002978353214080781,11.994848559994717,0.9034662683598254
realmlp,0,5,0.9059637846642378,0.03072739660754145,0.9056000000000001,0.03118974190338871,0.9054215641633148,0.031196020793396936,0.9732360162125915,0.01496149187775457,0.23792910444185353,0.0807285977193584,14.821052439988126,1.4261113370339968
realmlp,2,5,0.8888803379425608,0.022974348467740983,0.8888,0.02234278407003032,0.888578868089818,0.022477724767465644,0.9613762768785467,0.011641993790636896,0.3019128360630606,0.06047899115945752,15.323986159986816,3.3921299606651316
realmlp,4,5,0.6072984003914045,0.1611503914737768,0.6104,0.15754618370496953,0.5928899631810071,0.17667989985429478,0.6366269419194123,0.20781956457795303,0.7251287481467882,0.2001605647474839,15.714813200000208,1.2760803262955185
realmlp,8,5,0.526761822996719,0.020627774756378007,0.5288,0.021614809737770097,0.5192940851668693,0.020739820571189085,0.5299654810548392,0.03648903835116327,0.7146670545360572,0.022964949370333578,14.768403740006033,1.294876972138847
tabicl_v2,0,5,0.8191223882231362,0.17189897923628839,0.8216000000000001,0.1645989064362215,0.7903218344123214,0.23352313237907285,0.924429507988684,0.0915835264381422,0.35583005954384644,0.20159592211295885,15.299048420006875,1.5710055377181664
tabicl_v2,2,5,0.6818241926422008,0.1383467457077885,0.6856,0.13316455984983394,0.6493795323604674,0.19657920436687806,0.7511441202664741,0.1376445520045891,0.5777562885724381,0.15853734264567676,15.281470480014104,0.7963046148966094
tabicl_v2,4,5,0.5429600617295796,0.01980674240855758,0.5511999999999999,0.022163032283512074,0.5232040141845891,0.041858793688862375,0.5396970994994439,0.0439695713134372,0.6900583462659241,0.005593692690158254,17.194003900000826,1.196651353028157
tabicl_v2,8,5,0.512077123966489,0.018894176011615204,0.5192,0.018846750383023612,0.49600641171294113,0.03321243467760533,0.5293056317215724,0.03676415530633575,0.6917358595107168,0.005151071413117364,20.47152360000182,1.413202200540661
tabpfn_v2,0,5,0.8586404758006779,0.020337061538554933,0.8592000000000001,0.019057806799314563,0.858668642287523,0.019623595530840747,0.9424254812917994,0.012403843539291455,0.391397761235622,0.04018180997143579,25.17159315997269,5.273729937007326
tabpfn_v2,2,5,0.8071409698521336,0.03953750120303934,0.8103999999999999,0.0350542436803306,0.8070337296715527,0.03944174471125923,0.8989369838421044,0.03784300453652549,0.54321701506423,0.05793149028914011,32.36463898000075,1.8895404299941636
tabpfn_v2,4,5,0.6634149970837261,0.1281586925563777,0.6712,0.12659857819106815,0.6298672837550532,0.18620782856711854,0.7542235423273687,0.13315562255457408,0.6544405859368294,0.03187542766368378,40.06104289998766,2.3920657954509044
tabpfn_v2,8,5,0.525206825045368,0.02512124563491534,0.5384,0.016149303390549104,0.45497788224633257,0.10157887156444774,0.5297603955295622,0.035546786665749855,0.6901134716504485,0.003742997343871755,59.014081380004065,3.3061791884072798
tabpfn_v3,0,5,0.9172566823673141,0.023057895523384397,0.9168,0.022698017534577758,0.9167073841203086,0.022719980432555062,0.9801377404254646,0.005344688605651726,0.1996232504842907,0.019445244053765097,29.176407859986647,7.070068367439463
tabpfn_v3,2,5,0.6625991081873498,0.1614619166228328,0.6679999999999999,0.15720050890502868,0.6273369477815895,0.21056109671159737,0.7239500549208016,0.17070143403947563,0.6279748850992485,0.11557452104450065,25.94348779998254,2.6152641399379837
tabpfn_v3,4,5,0.5163598033812556,0.018025164410543165,0.5304,0.015126136320951248,0.4219674911602649,0.08110164784373106,0.5258446060919992,0.04880061131749263,0.6906158968102194,0.004073096087744682,28.496547060029116,1.4787392390717944
tabpfn_v3,8,5,0.5147033532283471,0.02101807530452585,0.5288,0.019879637823662703,0.44282716174516545,0.09005810541200339,0.5202938128075835,0.037245665241123715,0.690863346874857,0.003365004805605634,34.567029200005344,3.341500612272724
