dataset_module,dataset_variant,logical_operator,n_noise_features,model,seed,n_samples,n_relevant_features,n_features,train_samples,test_samples,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
logical_dataset,L1,AND,0,catboost,0,1000,2,2,750,250,0.228,1.0,1.0,1.0,1.0,1.0,3.1880917999951635,0.0236864000034984,3.211778199998662,0.0007456346428104,1.0,success,nan
logical_dataset,L2,OR,0,catboost,0,1000,2,2,750,250,0.738,0.992,0.9945652173913044,0.9852941176470588,0.9945652173913044,0.9898050729956772,2.310363700002199,0.0042313000012654,2.3145950000034645,0.0227827513506045,1.0,success,nan
logical_dataset,L3,XOR,0,catboost,0,1000,4,4,750,250,0.495,0.948,0.948220686123912,0.9492270190518955,0.948220686123912,0.9479791916766708,2.7745098000159487,0.0027592999977059,2.7772691000136547,0.2356558514964978,0.986879160266257,success,nan
logical_dataset,L1,AND,4,catboost,0,1000,2,6,750,250,0.228,1.0,1.0,1.0,1.0,1.0,2.788541199988685,0.0030066999897826,2.791547899978468,0.0005699581359798,1.0,success,nan
logical_dataset,L2,OR,4,catboost,0,1000,2,6,750,250,0.738,0.992,0.9945652173913044,0.9852941176470588,0.9945652173913044,0.9898050729956772,2.608096400013892,0.0025317000108771,2.610628100024769,0.0194004832735562,0.9999176548089592,success,nan
logical_dataset,L3,XOR,4,catboost,0,1000,4,8,750,250,0.495,0.7,0.6999487967229903,0.699987196722361,0.6999487967229903,0.6999567937783041,2.7702108999947086,0.002641200000653,2.7728520999953616,0.5456402544847166,0.8092037890424987,success,nan
logical_dataset,L1,AND,0,realmlp,0,1000,2,2,750,250,0.228,0.996,0.9912280701754386,0.9974226804123711,0.9912280701754386,0.9942832315748553,25.05331920000026,0.0994590999907814,25.15277829999104,0.013295871827929212,0.9999090991728025,success,
logical_dataset,L1,AND,0,tabicl_v2,0,1000,2,2,750,250,0.228,1.0,1.0,1.0,1.0,1.0,2.0986113999970257,11.987662500003353,14.086273900000378,0.0004583356875400706,1.0,success,
logical_dataset,L1,AND,0,limix,0,1000,2,2,750,250,0.228,1.0,1.0,1.0,1.0,1.0,0.00019489999976940453,3.471957999980077,3.4721528999798466,0.00213877964266749,1.0,success,
logical_dataset,L1,AND,0,tabpfn_v2,0,1000,2,2,750,250,0.228,1.0,1.0,1.0,1.0,1.0,0.5431430999888107,15.270022700016852,15.813165800005663,0.0030633373432087815,1.0,success,
logical_dataset,L1,AND,0,tabpfn_v3,0,1000,2,2,750,250,0.228,1.0,1.0,1.0,1.0,1.0,2.1731847999908496,17.86023390002083,20.03341870001168,0.0008294683640948169,1.0,success,
logical_dataset,L1,AND,0,catboost,1,1000,2,2,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,3.612910700001521,0.027499200019519776,3.640409900021041,0.0037398748518467323,1.0,success,
logical_dataset,L1,AND,0,realmlp,1,1000,2,2,750,250,0.237,1.0,1.0,1.0,1.0,1.0,24.5163453000132,0.09633280002162792,24.612678100034827,0.0008934713235938077,1.0,success,
logical_dataset,L1,AND,0,tabicl_v2,1,1000,2,2,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,0.9986081999959424,11.032782299997052,12.031390499992995,0.007960491856875055,1.0,success,
logical_dataset,L1,AND,0,limix,1,1000,2,2,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,0.00012290000449866056,2.733360200014431,2.7334831000189297,0.006008101448097353,1.0,success,
