dataset_variant,model,accuracy,roc_auc,f1_macro
many_class_02,CatBoost,1.0,1.0,1.0
many_class_02,RealMLP-TD,1.0,1.0,1.0
many_class_02,TabICL-v2,1.0,1.0,1.0
many_class_02,TabPFN-v2,1.0,1.0,1.0
many_class_02,TabPFN-v3,1.0,1.0,1.0
many_class_05,CatBoost,0.9987,1.0,0.9987
many_class_05,RealMLP-TD,0.9995,1.0,0.9995
many_class_05,TabICL-v2,0.9997,1.0,0.9997
many_class_05,TabPFN-v2,0.9997,1.0,0.9997
many_class_05,TabPFN-v3,0.9997,1.0,0.9997
many_class_10,CatBoost,0.9987,1.0,0.9987
many_class_10,RealMLP-TD,0.9984,1.0,0.9984
many_class_10,TabICL-v2,0.9989,1.0,0.9989
many_class_10,TabPFN-v2,0.9987,1.0,0.9987
many_class_10,TabPFN-v3,0.9992,1.0,0.9992
many_class_15,CatBoost,0.9987,1.0,0.9987
many_class_15,RealMLP-TD,0.9989,1.0,0.9989
many_class_15,TabICL-v2,0.9992,1.0,0.9992
many_class_15,TabPFN-v3,0.9992,1.0,0.9992
many_class_20,CatBoost,0.996,1.0,0.996
many_class_20,RealMLP-TD,0.9963,1.0,0.9963
many_class_20,TabICL-v2,0.9971,1.0,0.9971
many_class_20,TabPFN-v3,0.9968,1.0,0.9968
many_class_25,CatBoost,0.9976,1.0,0.9976
many_class_25,RealMLP-TD,0.9981,1.0,0.9981
many_class_25,TabICL-v2,0.9987,1.0,0.9987
many_class_25,TabPFN-v3,0.9979,1.0,0.9979
