dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
periodic_low_freq,CatBoost,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.2737122774124146,0.0011266786605119705,1.2748389560729265,0.003487493344218494,1.0,success,
periodic_low_freq,RealMLP-TD,0,1200,5,1000,200,0.995,0.9953271028037383,0.9946808510638299,0.9953271028037383,0.9949787853681806,16.115212528035045,0.04980922490358353,16.165021752938628,0.07327737659215927,0.9998995075871772,success,
periodic_low_freq,TabPFN-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.3297797897830606,1.8598739467561245,5.189653736539185,0.006731254048645496,1.0,success,
periodic_low_freq,TabPFN-v3,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.3141002133488655,1.3408744093030691,4.654974622651935,0.0034551345743238926,1.0,success,
periodic_low_freq,TabICL-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,0.8555154725909233,0.6211522165685892,1.4766676891595125,0.0013232011115178466,1.0,success,
periodic_mid_freq,CatBoost,0,1200,5,1000,200,0.985,0.9852130325814537,0.984775641025641,0.9852130325814537,0.9849695633658158,1.2061074525117874,0.002088279463350773,1.2081957319751382,0.05147637484688099,0.9997994987468671,success,
periodic_mid_freq,RealMLP-TD,0,1200,5,1000,200,0.49,0.4992481203007519,0.4991310392770247,0.4992481203007519,0.4766009852216748,15.192243043333292,0.05247685685753822,15.24471990019083,0.7549571394920349,0.5155889724310777,success,
periodic_mid_freq,TabPFN-v2,0,1200,5,1000,200,0.995,0.9952380952380953,0.9947916666666667,0.9952380952380953,0.994989854455272,1.2406576573848724,0.9270955827087164,2.167753240093589,0.024351581931114197,0.9997994987468672,success,
periodic_mid_freq,TabPFN-v3,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,4.358304046094418,0.9956078203395009,5.3539118664339185,0.008248565718531609,1.0,success,
periodic_mid_freq,TabICL-v2,0,1200,5,1000,200,0.995,0.9952380952380953,0.9947916666666667,0.9952380952380953,0.994989854455272,0.9183219745755196,0.6221840335056186,1.5405060080811381,0.00601132633164525,1.0,success,
periodic_high_freq,CatBoost,0,1200,5,1000,200,0.81,0.8111916264090178,0.8093237294917968,0.8111916264090178,0.8095238095238095,1.2102938573807478,0.0010996265336871147,1.211393483914435,0.46252740744471266,0.9167673107890499,success,
periodic_high_freq,RealMLP-TD,0,1200,5,1000,200,0.53,0.53341384863124,0.53341384863124,0.53341384863124,0.53,14.827293187379837,0.05877813696861267,14.88607132434845,0.6968057155609131,0.5491143317230274,success,
periodic_high_freq,TabPFN-v2,0,1200,5,1000,200,0.985,0.9845008051529791,0.9853311825788891,0.9845008051529791,0.9848908362922112,0.9545530574396253,0.9950082208961248,1.94956127833575,0.08377334475517273,0.9997987117552335,success,
periodic_high_freq,TabPFN-v3,0,1200,5,1000,200,0.92,0.9202898550724637,0.9191087916499399,0.9202898550724637,0.9196060697417345,3.4368025651201606,0.728824270889163,4.165626836009324,0.23841457068920135,0.9833937198067633,success,
periodic_high_freq,TabICL-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.111680026166141,0.5981543781235814,1.7098344042897224,0.011980687268078327,1.0,success,
periodic_2d_checkerboard,CatBoost,0,1200,5,1000,200,0.47,0.4846912826772455,0.48410938654841096,0.4846912826772455,0.468671679197995,1.2237208411097527,0.001311546191573143,1.2250323873013258,0.7557355274957008,0.46241481029396797,success,
periodic_2d_checkerboard,RealMLP-TD,0,1200,5,1000,200,0.46,0.48113111585800017,0.4791830322073841,0.48113111585800017,0.45454545454545453,14.860462848097086,0.051830911077558994,14.912293759174645,0.7253393530845642,0.43871427118299255,success,
periodic_2d_checkerboard,TabPFN-v2,0,1200,5,1000,200,0.435,0.5,0.2175,0.5,0.30313588850174217,0.8618654813617468,0.9156406112015247,1.7775060925632715,0.7030608654022217,0.47609602278506763,success,
periodic_2d_checkerboard,TabPFN-v3,0,1200,5,1000,200,0.435,0.5,0.2175,0.5,0.30313588850174217,3.613677660934627,0.7622383581474423,4.375916019082069,0.7022291421890259,0.4622113721900111,success,
periodic_2d_checkerboard,TabICL-v2,0,1200,5,1000,200,0.435,0.5,0.2175,0.5,0.30313588850174217,0.8698915923014283,0.5603523012250662,1.4302438935264945,0.7020213603973389,0.5162241887905604,success,
periodic_low_freq,CatBoost,1,1200,5,1000,200,0.995,0.9950980392156863,0.994949494949495,0.9950980392156863,0.994998874746818,1.187059381045401,0.002377767115831375,1.1894371481612325,0.013531407271602713,0.9998999599839936,success,
periodic_low_freq,RealMLP-TD,1,1200,5,1000,200,0.99,0.9899959983993598,0.9899959983993598,0.9899959983993598,0.9899959983993598,15.444267730228603,0.11909169983118773,15.56335943005979,0.08929788321256638,0.9990996398559423,success,
