dataset_variant,model,accuracy,f1_macro,roc_auc
periodic_2d_checkerboard,CatBoost,0.9767,0.9766,0.9985
periodic_2d_checkerboard,RealMLP-TD,0.6483,0.5988,0.6991
periodic_2d_checkerboard,TabICL-v2,0.9117,0.9115,0.9721
periodic_2d_checkerboard,TabPFN-v2,0.9467,0.9466,0.9922
periodic_2d_checkerboard,TabPFN-v3,0.93,0.9298,0.9816
periodic_high_freq,CatBoost,0.985,0.985,0.9994
periodic_high_freq,RealMLP-TD,0.6017,0.5959,0.6524
periodic_high_freq,TabICL-v2,0.995,0.995,1.0
periodic_high_freq,TabPFN-v2,0.99,0.99,0.9996
periodic_high_freq,TabPFN-v3,0.9967,0.9967,1.0
periodic_low_freq,CatBoost,0.9983,0.9983,1.0
periodic_low_freq,RealMLP-TD,0.9917,0.9917,0.9966
periodic_low_freq,TabICL-v2,1.0,1.0,1.0
periodic_low_freq,TabPFN-v2,1.0,1.0,1.0
periodic_low_freq,TabPFN-v3,1.0,1.0,1.0
periodic_mid_freq,CatBoost,0.9867,0.9866,0.9997
periodic_mid_freq,RealMLP-TD,0.9717,0.9716,0.9988
periodic_mid_freq,TabICL-v2,0.995,0.995,1.0
periodic_mid_freq,TabPFN-v2,0.9967,0.9967,0.9999
periodic_mid_freq,TabPFN-v3,0.9983,0.9983,1.0
