dataset_variant,model,accuracy,f1_macro,roc_auc
prior_bimodal_clusters,CatBoost,0.9617,0.9617,0.9952
prior_bimodal_clusters,RealMLP-TD,0.955,0.955,0.9947
prior_bimodal_clusters,TabICL-v2,0.99,0.99,0.9996
prior_bimodal_clusters,TabPFN-v2,0.99,0.99,0.9994
prior_bimodal_clusters,TabPFN-v3,0.9917,0.9917,0.9998
prior_gaussian_control,CatBoost,0.9617,0.9617,0.9952
prior_gaussian_control,RealMLP-TD,0.9833,0.9833,0.9991
prior_gaussian_control,TabICL-v2,0.995,0.995,1.0
prior_gaussian_control,TabPFN-v2,0.995,0.995,0.9999
prior_gaussian_control,TabPFN-v3,0.9967,0.9967,0.9999
prior_pareto_heavy_tail,CatBoost,0.9617,0.9617,0.9952
prior_pareto_heavy_tail,RealMLP-TD,0.955,0.955,0.9939
prior_pareto_heavy_tail,TabICL-v2,0.9733,0.9733,0.9979
prior_pareto_heavy_tail,TabPFN-v2,0.985,0.985,0.9983
prior_pareto_heavy_tail,TabPFN-v3,0.9883,0.9883,0.9996
prior_poisson_counts,CatBoost,0.93,0.93,0.9874
prior_poisson_counts,RealMLP-TD,0.9283,0.9283,0.9782
prior_poisson_counts,TabICL-v2,0.93,0.93,0.989
prior_poisson_counts,TabPFN-v2,0.93,0.93,0.9891
prior_poisson_counts,TabPFN-v3,0.9333,0.9333,0.9897
