dataset_variant,model,seed,n_keys,shots_per_key,n_train,n_test,n_features,status,error
routing_combined_M150,CatBoost,0,150,20.0,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M150,TabPFN-v2,0,150,20.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M150,TabPFN-v3,0,150,20.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M150,TabICL-v2,0,150,20.0,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M350,CatBoost,0,350,8.571,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M350,TabPFN-v2,0,350,8.571,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M350,TabPFN-v3,0,350,8.571,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M350,TabICL-v2,0,350,8.571,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M550,CatBoost,0,550,5.455,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M550,TabPFN-v2,0,550,5.455,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M550,TabPFN-v3,0,550,5.455,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M550,TabICL-v2,0,550,5.455,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M750,CatBoost,0,750,4.0,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M750,TabPFN-v2,0,750,4.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M750,TabPFN-v3,0,750,4.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M750,TabICL-v2,0,750,4.0,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M950,CatBoost,0,950,3.158,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M950,TabPFN-v2,0,950,3.158,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M950,TabPFN-v3,0,950,3.158,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M950,TabICL-v2,0,950,3.158,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M1150,CatBoost,0,1150,2.609,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M1150,TabPFN-v2,0,1150,2.609,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M1150,TabPFN-v3,0,1150,2.609,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M1150,TabICL-v2,0,1150,2.609,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M150,CatBoost,1,150,20.0,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M150,TabPFN-v2,1,150,20.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M150,TabPFN-v3,1,150,20.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M150,TabICL-v2,1,150,20.0,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M350,CatBoost,1,350,8.571,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M350,TabPFN-v2,1,350,8.571,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M350,TabPFN-v3,1,350,8.571,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M350,TabICL-v2,1,350,8.571,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M550,CatBoost,1,550,5.455,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M550,TabPFN-v2,1,550,5.455,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M550,TabPFN-v3,1,550,5.455,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M550,TabICL-v2,1,550,5.455,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M750,CatBoost,1,750,4.0,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
routing_combined_M750,TabPFN-v2,1,750,4.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M750,TabPFN-v3,1,750,4.0,3000,400,11,failed,TabPFN is not installed. Install it with: pip install tabpfn
routing_combined_M750,TabICL-v2,1,750,4.0,3000,400,11,failed,TabICL is not installed. Install it with: pip install tabicl
routing_combined_M950,CatBoost,1,950,3.158,3000,400,11,failed,"'data' is numpy array of floating point numerical type, it means no categorical features, but 'cat_features' parameter specifies nonzero number of categorical features"
