dataset_variant,model,accuracy,roc_auc,f1_macro
routing_combined_M1000,CatBoost,0.5229,0.5274,0.5223
routing_combined_M1000,TabICL-v2,0.8547,0.9179,0.8547
routing_combined_M1000,TabPFN-v2,0.5747,0.6043,0.571
routing_combined_M1000,TabPFN-v3,0.5471,0.5685,0.546
routing_combined_M1150,CatBoost,0.5424,0.5435,0.5345
routing_combined_M1150,TabICL-v2,0.83,0.9038,0.8292
routing_combined_M1150,TabPFN-v2,0.5341,0.5424,0.4065
routing_combined_M1150,TabPFN-v3,0.5629,0.5836,0.4594
routing_combined_M150,CatBoost,0.8118,0.9078,0.8082
routing_combined_M150,TabICL-v2,0.9794,0.9801,0.9792
routing_combined_M150,TabPFN-v2,0.9718,0.9769,0.9715
routing_combined_M150,TabPFN-v3,0.9794,0.9785,0.9792
routing_combined_M200,CatBoost,0.7535,0.8394,0.752
routing_combined_M200,TabICL-v2,0.9853,0.9868,0.9852
routing_combined_M200,TabPFN-v2,0.8694,0.9555,0.8687
routing_combined_M200,TabPFN-v3,0.9853,0.9859,0.9852
routing_combined_M350,CatBoost,0.67,0.7222,0.669
routing_combined_M350,TabICL-v2,0.9794,0.9787,0.9794
routing_combined_M350,TabPFN-v2,0.7335,0.8346,0.7316
routing_combined_M350,TabPFN-v3,0.9624,0.9782,0.9623
routing_combined_M500,CatBoost,0.5759,0.6086,0.5757
routing_combined_M500,TabICL-v2,0.9782,0.9793,0.9782
routing_combined_M500,TabPFN-v2,0.6829,0.7438,0.6815
routing_combined_M500,TabPFN-v3,0.8212,0.9085,0.821
routing_combined_M550,CatBoost,0.5935,0.6305,0.5899
routing_combined_M550,TabICL-v2,0.9606,0.9787,0.9605
routing_combined_M550,TabPFN-v2,0.67,0.7315,0.6698
routing_combined_M550,TabPFN-v3,0.8235,0.8972,0.8229
routing_combined_M750,CatBoost,0.53,0.5482,0.5298
routing_combined_M750,TabICL-v2,0.9418,0.9678,0.9418
routing_combined_M750,TabPFN-v2,0.5882,0.6438,0.5658
routing_combined_M750,TabPFN-v3,0.6247,0.6648,0.6245
routing_combined_M950,CatBoost,0.5271,0.5298,0.5258
routing_combined_M950,TabICL-v2,0.8924,0.9489,0.8923
routing_combined_M950,TabPFN-v2,0.5165,0.5614,0.3928
routing_combined_M950,TabPFN-v3,0.5135,0.5479,0.3757
