dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
attention_clean_base,CatBoost,0,1200,5,1000,200,0.945,0.9455128205128205,0.9448444844484448,0.9455128205128205,0.9449656035021888,1.2725515561178327,0.0010231370106339455,1.2735746931284666,0.16599927427109606,0.9910857371794872,success,
attention_clean_base,RealMLP-TD,0,1200,5,1000,200,0.945,0.9455128205128205,0.9448444844484448,0.9455128205128205,0.9449656035021888,15.845340757630765,0.048279350623488426,15.893620108254254,0.17022323608398438,0.9829727564102565,success,
attention_clean_base,TabPFN-v2,0,1200,5,1000,200,0.96,0.9599358974358975,0.9599358974358975,0.9599358974358975,0.9599358974358975,2.826066047884524,1.776389786042273,4.602455833926797,0.07421498000621796,0.9963942307692308,success,
attention_clean_base,TabPFN-v3,0,1200,5,1000,200,0.97,0.969551282051282,0.9704937775993576,0.969551282051282,0.9699248120300752,3.3835286935791373,1.2607135633006692,4.6442422568798065,0.07493944466114044,0.9963942307692307,success,
attention_clean_base,TabICL-v2,0,1200,5,1000,200,0.975,0.9751602564102564,0.9748273446101492,0.9751602564102564,0.974969337438362,1.0629486041143537,0.6403118930757046,1.7032604971900582,0.06230102479457855,0.9972956730769231,success,
attention_dilution_50feat,CatBoost,0,1200,50,1000,200,0.87,0.8717948717948718,0.8725411481332799,0.8717948717948718,0.8699869986998701,2.5180393680930138,0.002417699433863163,2.520457067526877,0.2974494385056203,0.9625400641025641,success,
attention_dilution_50feat,RealMLP-TD,0,1200,50,1000,200,0.93,0.9298878205128205,0.9298878205128205,0.9298878205128205,0.9298878205128205,14.997295318171382,0.05752192437648773,15.05481724254787,0.17852801084518433,0.987479967948718,success,
attention_dilution_50feat,TabPFN-v2,0,1200,50,1000,200,0.92,0.9198717948717949,0.9198717948717949,0.9198717948717949,0.9198717948717949,1.8663622820749879,6.313388259150088,8.179750541225076,0.26938095688819885,0.9825721153846154,success,
attention_dilution_50feat,TabPFN-v3,0,1200,50,1000,200,0.85,0.8517628205128205,0.8524688879967884,0.8517628205128205,0.84998499849985,3.1065122662112117,1.0848906179890037,4.191402884200215,0.3517966568470001,0.9517227564102564,success,
attention_dilution_50feat,TabICL-v2,0,1200,50,1000,200,0.79,0.7904647435897436,0.79,0.7904647435897436,0.7899159663865546,1.4855019692331553,1.3956056032329798,2.881107572466135,0.4756259620189667,0.8654847756410257,success,
attention_dilution_150feat,CatBoost,0,1200,150,1000,200,0.83,0.8321314102564102,0.8337359098228664,0.8321314102564102,0.8299319727891157,4.860186008736491,0.005578126758337021,4.865764135494828,0.38684485249658296,0.9236778846153846,success,
attention_dilution_150feat,RealMLP-TD,0,1200,150,1000,200,0.71,0.7063301282051282,0.7145833333333333,0.7063301282051282,0.705762987012987,14.893902353011072,0.05123246554285288,14.945134818553925,0.5736263394355774,0.802283653846154,success,
attention_dilution_150feat,TabPFN-v2,0,1200,150,1000,200,0.795,0.796474358974359,0.7967418546365914,0.796474358974359,0.7949948748718718,4.7066364055499434,18.201177591457963,22.907813997007906,0.4878343343734741,0.8585236378205129,success,
attention_dilution_150feat,TabPFN-v3,0,1200,150,1000,200,0.79,0.7916666666666667,0.7922521075873143,0.7916666666666667,0.78997899789979,4.12100281752646,2.9111846704035997,7.032187487930059,0.47983649373054504,0.8606770833333334,success,
attention_dilution_150feat,TabICL-v2,0,1200,150,1000,200,0.8,0.8008814102564102,0.8005202080832333,0.8008814102564102,0.7999799979998,3.0637863082811236,12.101633632555604,15.165419940836728,0.4852553606033325,0.8557191506410257,success,
attention_clean_base,CatBoost,1,1200,5,1000,200,0.925,0.9254425442544254,0.9281400966183575,0.9254425442544254,0.9249080123150859,1.2113621234893799,0.002297714352607727,1.2136598378419876,0.1896265225295103,0.9869986998699871,success,
attention_clean_base,RealMLP-TD,1,1200,5,1000,200,0.945,0.9453445344534454,0.9469088719389803,0.9453445344534454,0.9449656035021888,14.571525725536048,0.048354038037359715,14.619879763573408,0.16947424411773682,0.9945994599459946,success,
attention_clean_base,TabPFN-v2,1,1200,5,1000,200,0.96,0.9601960196019601,0.9605645080572516,0.9601960196019601,0.95999599959996,1.2615828793495893,0.9686408061534166,2.230223685503006,0.09111353009939194,0.9980998099809981,success,
attention_clean_base,TabPFN-v3,1,1200,5,1000,200,0.96,0.95999599959996,0.95999599959996,0.95999599959996,0.95999599959996,2.8387894947081804,0.6010965397581458,3.4398860344663262,0.06313902884721756,0.996999699969997,success,
attention_clean_base,TabICL-v2,1,1200,5,1000,200,0.975,0.974947494749475,0.9750900360144057,0.974947494749475,0.9749943737340903,0.8729586433619261,0.5605717683210969,1.433530411683023,0.055737920105457306,0.9990999099909991,success,
attention_dilution_50feat,CatBoost,1,1200,50,1000,200,0.855,0.8555355535553555,0.8590909090909091,0.8555355535553555,0.8547057792028858,2.252689603716135,0.002535848878324032,2.255225452594459,0.34400870713389664,0.9380938093809381,success,
attention_dilution_50feat,RealMLP-TD,1,1200,50,1000,200,0.92,0.9203920392039204,0.9224198573007738,0.9203920392039204,0.9199279351416274,15.288139105774462,0.05146911833435297,15.339608224108815,0.23931092023849487,0.9708970897089709,success,
attention_dilution_50feat,TabPFN-v2,1,1200,50,1000,200,0.845,0.8457345734573458,0.852611179110567,0.8457345734573458,0.8443423464135975,2.011251263320446,6.3847800539806485,8.396031317301095,0.4269649088382721,0.893989398939894,success,
attention_dilution_50feat,TabPFN-v3,1,1200,50,1000,200,0.835,0.8353335333533354,0.8365114411882778,0.8353335333533354,0.8348968105065666,3.635525387711823,1.101235345005989,4.736760732717812,0.4054397642612457,0.9085908590859085,success,
attention_dilution_50feat,TabICL-v2,1,1200,50,1000,200,0.755,0.7553255325532553,0.7562224006423123,0.7553255325532553,0.7548467792370231,1.7298913076519966,1.3781004529446363,3.107991760596633,0.5380890369415283,0.8173817381738174,success,
attention_dilution_150feat,CatBoost,1,1200,150,1000,200,0.78,0.7804780478047805,0.7827401955842324,0.7804780478047805,0.7796474358974359,4.872088830918074,0.0026888232678174973,4.874777654185891,0.4317764926218743,0.8898889888988899,success,
attention_dilution_150feat,RealMLP-TD,1,1200,150,1000,200,0.78,0.7802780278027803,0.780952380952381,0.7802780278027803,0.7799119647859143,15.663154510781169,0.05295794364064932,15.716112454421818,0.5041100978851318,0.8446844684468447,success,
attention_dilution_150feat,TabPFN-v2,1,1200,150,1000,200,0.75,0.7504750475047505,0.7524952112108075,0.7504750475047505,0.749599358974359,3.9135808618739247,18.48519149515778,22.398772357031703,0.5429815053939819,0.8183818381838184,success,
attention_dilution_150feat,TabPFN-v3,1,1200,150,1000,200,0.765,0.7654265426542655,0.7671095008051529,0.7654265426542655,0.7647117719206027,3.7872307365760207,2.122896447777748,5.910127184353769,0.5172680020332336,0.8332833283328334,success,
attention_dilution_150feat,TabICL-v2,1,1200,150,1000,200,0.745,0.7453245324532454,0.7461862705740666,0.7453245324532454,0.7448405253283302,2.7287729484960437,12.112358813174069,14.841131761670113,0.5416436195373535,0.8175317531753176,success,
attention_clean_base,CatBoost,2,1200,5,1000,200,0.87,0.8714702039995981,0.8696869686968697,0.8714702039995981,0.8697916666666667,1.19828855805099,0.0011328691616654396,1.1994214272126555,0.21450255199048798,0.975479851271229,success,
attention_clean_base,RealMLP-TD,2,1200,5,1000,200,0.91,0.9088533815696915,0.9101723964109285,0.9088533815696915,0.9094202898550725,15.300606340169907,0.05519169196486473,15.355798032134771,0.19180426001548767,0.9842226911868154,success,
