dataset_module,dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
feature_scale_mismatch,scale_mismatch_control,CatBoost,0,1200,3,900,300,0.9533333333333334,0.9533333333333334,0.9536559331079879,0.9533333333333334,0.9533250355618776,1.2023908803239465,0.001273319125175476,1.203664199449122,0.16140283351497994,0.988311111111111,success,
feature_scale_mismatch,scale_mismatch_control,RealMLP-TD,0,1200,3,900,300,0.9733333333333334,0.9733333333333334,0.9734174964438123,0.9733333333333334,0.9733321480954709,12.088115433230996,0.0507226325571537,12.13883806578815,0.13263028860092163,0.9827111111111111,success,
feature_scale_mismatch,scale_mismatch_control,TabPFN-v2,0,1200,3,900,300,0.98,0.98,0.9800853485064012,0.98,0.9799991110716032,2.8811450442299247,1.8825231930240989,4.7636682372540236,0.1037532389163971,0.9847777777777778,success,
feature_scale_mismatch,scale_mismatch_control,TabPFN-v3,0,1200,3,900,300,0.98,0.98,0.9800853485064012,0.98,0.9799991110716032,3.5336854681372643,1.6568167489022017,5.190502217039466,0.10080643743276596,0.9846222222222222,success,
feature_scale_mismatch,scale_mismatch_control,TabICL-v2,0,1200,3,900,300,0.9833333333333333,0.9833333333333334,0.9835267440309456,0.9833333333333334,0.9833316664999834,0.8750104019418359,0.8022465733811259,1.6772569753229618,0.09480058401823044,0.9895555555555555,success,
feature_scale_mismatch,scale_mismatch_extreme,CatBoost,0,1200,3,900,300,0.94,0.9403449502133713,0.9409722222222222,0.9403449502133713,0.9399893314366998,1.1676261462271214,0.0011709276586771011,1.1687970738857985,0.24331517996460492,0.9608819345661451,success,
feature_scale_mismatch,scale_mismatch_extreme,RealMLP-TD,0,1200,3,900,300,0.97,0.9702169274537695,0.9703214619181006,0.9702169274537695,0.9699996666629629,10.528766185045242,0.039964706636965275,10.568730891682208,0.1455685943365097,0.9758623755334283,success,
feature_scale_mismatch,scale_mismatch_extreme,TabPFN-v2,0,1200,3,900,300,0.97,0.9702169274537695,0.9703214619181006,0.9702169274537695,0.9699996666629629,0.8362999493256211,0.7289124075323343,1.5652123568579555,0.1362217217683792,0.9708614864864863,success,
feature_scale_mismatch,scale_mismatch_extreme,TabPFN-v3,0,1200,3,900,300,0.9733333333333334,0.9735064011379801,0.9735064011379801,0.9735064011379801,0.9733333333333334,3.0926441652700305,0.6933575728908181,3.7860017381608486,0.12074455618858337,0.9750622332859175,success,
feature_scale_mismatch,scale_mismatch_extreme,TabICL-v2,0,1200,3,900,300,0.9733333333333334,0.9735064011379801,0.9735064011379801,0.9735064011379801,0.9733333333333334,0.8019006550312042,0.5558641105890274,1.3577647656202316,0.12209820747375488,0.9734619487908962,success,
feature_scale_mismatch,scale_mismatch_control,CatBoost,1,1200,3,900,300,0.9266666666666666,0.9266666666666666,0.9269702899839887,0.9266666666666666,0.926653627311522,1.1514335349202156,0.0014585768803954124,1.152892111800611,0.22688626683819782,0.9676444444444445,success,
feature_scale_mismatch,scale_mismatch_control,RealMLP-TD,1,1200,3,900,300,0.96,0.96,0.9603273438889877,0.96,0.9599928876244666,10.795157385990024,0.10008327662944794,10.895240662619472,0.17083553969860077,0.968088888888889,success,
feature_scale_mismatch,scale_mismatch_control,TabPFN-v2,1,1200,3,900,300,0.9633333333333334,0.9633333333333334,0.9635187408296653,0.9633333333333334,0.9633296662999633,0.7920105140656233,0.6580185629427433,1.4500290770083666,0.16835252940654755,0.9661777777777778,success,
feature_scale_mismatch,scale_mismatch_control,TabPFN-v3,1,1200,3,900,300,0.96,0.96,0.9600817923186344,0.96,0.9599982221432064,3.348386824131012,0.8961317790672183,4.24451860319823,0.1588250696659088,0.9644,success,
feature_scale_mismatch,scale_mismatch_control,TabICL-v2,1,1200,3,900,300,0.9666666666666667,0.9666666666666667,0.9667496443812233,0.9666666666666667,0.9666651851193386,0.8003077832981944,0.7923386450856924,1.5926464283838868,0.15334683656692505,0.9659555555555556,success,
feature_scale_mismatch,scale_mismatch_extreme,CatBoost,1,1200,3,900,300,0.9566666666666667,0.9568812233285917,0.9569827931172469,0.9568812233285917,0.9566661851798354,1.1494542742148042,0.0022526253014802933,1.1517068995162845,0.16662362388275245,0.9815522759601707,success,
feature_scale_mismatch,scale_mismatch_extreme,RealMLP-TD,1,1200,3,900,300,0.9833333333333333,0.9833748221906117,0.9833103693497489,0.9833748221906117,0.9833316664999834,10.748808057047427,0.0470309155061841,10.79583897255361,0.10381389409303665,0.9938211237553343,success,
feature_scale_mismatch,scale_mismatch_extreme,TabPFN-v2,1,1200,3,900,300,0.9833333333333333,0.9834637268847795,0.9833992621894306,0.9834637268847795,0.9833331481460905,0.7843300253152847,0.7097011338919401,1.4940311592072248,0.09216514974832535,0.9894203413940256,success,
feature_scale_mismatch,scale_mismatch_extreme,TabPFN-v3,1,1200,3,900,300,0.9866666666666667,0.9867532005689901,0.9866666666666666,0.9867532005689901,0.9866660740477355,2.9504287634044886,0.8702791705727577,3.8207079339772463,0.07588756084442139,0.9912873399715505,success,
feature_scale_mismatch,scale_mismatch_extreme,TabICL-v2,1,1200,3,900,300,0.9866666666666667,0.9867532005689901,0.9866666666666666,0.9867532005689901,0.9866660740477355,0.8256098981946707,0.552167228423059,1.3777771266177297,0.07683556526899338,0.9899093172119489,success,
