dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
periodic_low_freq,CatBoost,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.2311328984797,0.001692730002105236,1.2328256284818053,0.001170974396310772,1.0,success,
periodic_low_freq,RealMLP-TD,0,1200,5,1000,200,0.985,0.9852468887996788,0.9847117794486215,0.9852468887996788,0.9849544873241556,16.188952353782952,0.05060929525643587,16.239561649039388,0.07150343060493469,0.9995985547972702,success,
periodic_low_freq,TabPFN-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.2066536713391542,1.9905845215544105,5.197238192893565,0.008741188794374466,1.0,success,
periodic_low_freq,TabPFN-v3,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.164780057966709,1.4060394065454602,4.570819464512169,0.0031413354445248842,1.0,success,
periodic_low_freq,TabICL-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.0319700296968222,0.6276896568015218,1.659659686498344,9.17297147680074e-05,1.0,success,
periodic_mid_freq,CatBoost,0,1200,5,1000,200,0.985,0.985094037615046,0.9849484948494849,0.985094037615046,0.9849966242404541,1.191875665448606,0.0021330807358026505,1.1940087461844087,0.021809406564739495,0.9997999199679871,success,
periodic_mid_freq,RealMLP-TD,0,1200,5,1000,200,0.98,0.9799919967987194,0.9799919967987194,0.9799919967987194,0.9799919967987194,15.107023416087031,0.04618229903280735,15.153205715119839,0.09550689905881882,0.9989995998399359,success,
periodic_mid_freq,TabPFN-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.279445232823491,0.9962858790531754,2.2757311118766665,0.012054722756147385,1.0,success,
periodic_mid_freq,TabPFN-v3,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,4.143398393876851,0.6609236942604184,4.804322088137269,0.004681758116930723,1.0,success,
periodic_mid_freq,TabICL-v2,0,1200,5,1000,200,0.995,0.9948979591836735,0.9951456310679612,0.9948979591836735,0.9949968730456535,0.7776213651522994,0.5846377704292536,1.362259135581553,0.004152131266891956,1.0,success,
periodic_high_freq,CatBoost,0,1200,5,1000,200,0.99,0.9904761904761905,0.9896907216494846,0.9904761904761905,0.9899839743589745,1.1933343736454844,0.0015681004151701927,1.1949024740606546,0.042964958586485025,0.9996992481203008,success,
