task,model,n_features,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
regression,tabpfn_v2_5,100,100,500,0,ok,r2,0.9896374291219279,rmse,17.709170702528166,0.35265591694042087,4.925361125031486,
regression,tabpfn_v3,100,100,500,0,ok,r2,0.8629605103084593,rmse,64.40021741718326,0.5114497500471771,3.4460782089736313,
regression,tabicl_v2,100,100,500,0,ok,r2,0.880536922371835,rmse,60.128631089455126,0.3394793749321252,4.762942750006914,
regression,tabpfn_v2_5,100,100,500,1,ok,r2,0.99096252842339,rmse,14.820494593990633,0.19160429202020168,5.157987707993016,
regression,tabpfn_v3,100,100,500,1,ok,r2,0.8310717513847734,rmse,64.07525818696779,0.4882629580097273,3.142212125007063,
regression,tabicl_v2,100,100,500,1,ok,r2,0.8942863798789551,rmse,50.68794656490311,0.3809696250827983,5.62163712491747,
regression,tabpfn_v2_5,100,100,500,2,ok,r2,0.9890035135004195,rmse,16.922981090626497,0.28751987498253584,4.933727000025101,
regression,tabpfn_v3,100,100,500,2,ok,r2,0.9732076077255061,rmse,26.415305822485692,0.4302677910309285,3.145657915971242,
regression,tabicl_v2,100,100,500,2,ok,r2,0.9612788629241948,rmse,31.755865042488967,0.34794070897623897,5.404847375000827,
regression,tabpfn_v2_5,200,100,500,0,ok,r2,0.9555136110160034,rmse,53.3925120905807,0.2239990410162136,9.406715083983727,
regression,tabpfn_v3,200,100,500,0,ok,r2,0.6630810938799605,rmse,146.93642467862344,0.7669075829908252,6.352968666004017,
regression,tabicl_v2,200,100,500,0,ok,r2,0.537932103885075,rmse,172.07575148478628,0.6862166250357404,10.59964074997697,
regression,tabpfn_v2_5,200,100,500,1,ok,r2,0.9695249196645611,rmse,41.908893354450925,0.2272866249550134,9.278714791988023,
regression,tabpfn_v3,200,100,500,1,ok,r2,0.7949755929112046,rmse,108.7017524699576,0.5125720830401406,6.0369995420333,
regression,tabicl_v2,200,100,500,1,ok,r2,0.6702626050757834,rmse,137.85352148521275,0.6890534589765593,10.89364270796068,
