experiment,task,model,n_features,depth,ood,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
1_base,classification,tabpfn_v2_5,50,5,False,100,500,0,ok,accuracy,0.71,roc_auc,0.769398267765157,0.28534212498925626,2.6661080839694478,
1_base,classification,tabpfn_v3,50,5,False,100,500,0,ok,accuracy,0.71,roc_auc,0.7445847348835697,0.46402787504484877,1.7197163340169936,
1_base,classification,tabicl_v2,50,5,False,100,500,0,ok,accuracy,0.692,roc_auc,0.7188937096800405,0.2623754999949597,3.197411999979522,
1_base,classification,tabpfn_v2_5,100,5,False,100,500,0,ok,accuracy,0.712,roc_auc,0.7601514495195008,0.17982362501788884,4.28966012498131,
1_base,classification,tabpfn_v3,100,5,False,100,500,0,ok,accuracy,0.708,roc_auc,0.7593492804543485,0.6627397499978542,2.2933916250476614,
1_base,classification,tabicl_v2,100,5,False,100,500,0,ok,accuracy,0.612,roc_auc,0.694854887616114,0.3914199999999255,5.351857500034384,
1_base,classification,tabpfn_v2_5,200,5,False,100,500,0,ok,accuracy,0.748,roc_auc,0.7745479292241882,0.3626387920230627,8.074403584003448,
1_base,classification,tabpfn_v3,200,5,False,100,500,0,ok,accuracy,0.742,roc_auc,0.7649556030850995,0.5777047079754993,4.298269625054672,
1_base,classification,tabicl_v2,200,5,False,100,500,0,ok,accuracy,0.556,roc_auc,0.577694601075896,1.2089285000110976,12.1122173750191,
1_base,classification,tabpfn_v2_5,500,5,False,100,500,0,ok,accuracy,0.648,roc_auc,0.6797295501362217,0.25048275000881404,26.649013167014346,
1_base,classification,tabpfn_v3,500,5,False,100,500,0,ok,accuracy,0.682,roc_auc,0.7106784503953751,0.5984670420293696,10.864828584017232,
1_base,classification,tabicl_v2,500,5,False,100,500,0,ok,accuracy,0.554,roc_auc,0.5870323609542163,1.462305875029415,41.465335416956805,
1_base,classification,tabpfn_v2_5,1000,5,False,100,500,0,ok,accuracy,0.606,roc_auc,0.6485724808249668,0.48881574999541044,29.5595869999961,
1_base,classification,tabpfn_v3,1000,5,False,100,500,0,ok,accuracy,0.628,roc_auc,0.6663464155898224,0.7041341249714606,6.475164707982913,
1_base,classification,tabicl_v2,1000,5,False,100,500,0,ok,accuracy,0.548,roc_auc,0.5400714159901363,2.5594901249860413,101.1675907499739,
1_base,classification,tabpfn_v2_5,2000,5,False,100,500,0,ok,accuracy,0.574,roc_auc,0.6075019021871104,1.6003870840067975,44.552540333010256,
1_base,classification,tabpfn_v3,2000,5,False,100,500,0,ok,accuracy,0.57,roc_auc,0.5900665360767998,2.0076428330503404,10.564231917029247,
1_base,classification,tabicl_v2,2000,5,False,100,500,0,ok,accuracy,0.492,roc_auc,0.4847744087031131,5.417829791957047,293.51654529199004,
1_base,regression,tabpfn_v2_5,50,5,False,100,500,0,ok,r2,0.046425542234088235,rmse,3.652934100909583,0.6938997919787653,9.513404124998488,
1_base,regression,tabpfn_v3,50,5,False,100,500,0,ok,r2,0.05002772212852913,rmse,3.6460279930764816,0.8038728749961592,2.187651249987539,
1_base,regression,tabicl_v2,50,5,False,100,500,0,ok,r2,-0.04868840076991443,rmse,3.830784883389995,0.27127195900538936,3.8623253330006264,
1_base,regression,tabpfn_v2_5,100,5,False,100,500,0,ok,r2,0.04982628403752032,rmse,3.7925834188198366,0.16822720802156255,8.489411709015258,
1_base,regression,tabpfn_v3,100,5,False,100,500,0,ok,r2,0.1129296394407664,rmse,3.6644826509566157,0.5491887499811128,5.428669291024562,
1_base,regression,tabicl_v2,100,5,False,100,500,0,ok,r2,-0.015017578896070027,rmse,3.9198587483033323,0.6104854580480605,6.567444499989506,
1_base,regression,tabpfn_v2_5,200,5,False,100,500,0,ok,r2,0.04499010568723538,rmse,4.03301376394395,0.23541487503098324,18.835128541046288,
1_base,regression,tabpfn_v3,200,5,False,100,500,0,ok,r2,0.054159897479781116,rmse,4.013605013063387,0.6000382089987397,13.11858916701749,
1_base,regression,tabicl_v2,200,5,False,100,500,0,ok,r2,-0.35700890511462813,rmse,4.8074759185068645,0.7056124160299078,14.638665957958438,
1_base,regression,tabpfn_v2_5,500,5,False,100,500,0,ok,r2,-0.016186693798543095,rmse,3.462128157389872,0.3483221670030616,28.306645125034265,
1_base,regression,tabpfn_v3,500,5,False,100,500,0,ok,r2,-0.022251408636491776,rmse,3.4724439711248625,0.6949723750003614,24.50655549997464,
1_base,regression,tabicl_v2,500,5,False,100,500,0,ok,r2,-0.007386698397267688,rmse,3.4471048559267397,1.7372924170340411,48.33197575004306,
1_base,regression,tabpfn_v2_5,1000,5,False,100,500,0,ok,r2,0.01917814131044493,rmse,4.0472653585304235,0.8597723750281148,30.0657837499748,
1_base,regression,tabpfn_v3,1000,5,False,100,500,0,ok,r2,0.00299283935328043,rmse,4.080522252305925,0.6543272089911625,22.5839429590269,
1_base,regression,tabicl_v2,1000,5,False,100,500,0,ok,r2,-0.10811208789467308,rmse,4.30188164760918,2.6407142079551704,117.84234091697726,
1_base,regression,tabpfn_v2_5,2000,5,False,100,500,0,ok,r2,-0.010515899710681342,rmse,3.618395293174704,4.280092082975898,40.08443237497704,
1_base,regression,tabpfn_v3,2000,5,False,100,500,0,ok,r2,0.008714662232248371,rmse,3.583800085267622,4.3820362080005,27.977100749965757,
1_base,regression,tabicl_v2,2000,5,False,100,500,0,ok,r2,-0.0677512827220661,rmse,3.7194565105422206,6.588282417040318,352.35385650000535,
1_base,classification,xgboost,50,5,False,100,500,0,ok,accuracy,0.654,roc_auc,0.7123450169811014,0.10076966602355242,0.0008453750051558018,
1_base,classification,xgboost,100,5,False,100,500,0,ok,accuracy,0.682,roc_auc,0.7416534308770916,0.07079358299961314,0.00042100000428035855,
1_base,classification,xgboost,200,5,False,100,500,0,ok,accuracy,0.632,roc_auc,0.6895618640222956,0.10097466601291671,0.00045487500028684735,
1_base,classification,xgboost,500,5,False,100,500,0,ok,accuracy,0.628,roc_auc,0.6688650408665027,0.13207512500230223,0.0005948340403847396,
1_base,classification,xgboost,1000,5,False,100,500,0,ok,accuracy,0.622,roc_auc,0.6616066996525276,0.2012434999924153,0.0006297500221990049,
1_base,classification,xgboost,2000,5,False,100,500,0,ok,accuracy,0.55,roc_auc,0.5668517589159962,0.348251374962274,0.0009112920379266143,
1_base,regression,xgboost,50,5,False,100,500,0,ok,r2,0.004021009542420018,rmse,3.7332719002544565,0.14270170801319182,0.0004994590417481959,
1_base,regression,xgboost,100,5,False,100,500,0,ok,r2,-0.06279841767549432,rmse,4.011059323452127,0.15592745802132413,0.0005745420348830521,
1_base,regression,xgboost,200,5,False,100,500,0,ok,r2,-0.13854582658924497,rmse,4.403530680082596,0.1799330419744365,0.0006051670061424375,
1_base,regression,xgboost,500,5,False,100,500,0,ok,r2,-0.11310453169682089,rmse,3.6234674436468275,0.2715669999597594,0.0006418749690055847,
1_base,regression,xgboost,1000,5,False,100,500,0,ok,r2,-0.11104406983985937,rmse,4.307569116949199,0.5410921670263633,0.000921958009712398,
1_base,regression,xgboost,2000,5,False,100,500,0,ok,r2,-0.10524943568539835,rmse,3.7842043893639774,1.0123418750008568,0.0013842500047758222,
2_ood,classification,tabpfn_v2_5,50,5,False,100,500,0,ok,accuracy,0.71,roc_auc,0.769398267765157,0.2428750420222059,2.5830040409928188,
2_ood,classification,tabpfn_v3,50,5,False,100,500,0,ok,accuracy,0.71,roc_auc,0.7445847348835697,0.5737432079622522,1.7136158330831677,
2_ood,classification,tabicl_v2,50,5,False,100,500,0,ok,accuracy,0.692,roc_auc,0.7188937096800405,0.4995160000398755,2.7848422089591622,
2_ood,classification,tabpfn_v2_5,50,5,True,100,500,0,ok,accuracy,0.726,roc_auc,0.6671291746160222,0.15281729109119624,2.301000958075747,
2_ood,classification,tabpfn_v3,50,5,True,100,500,0,ok,accuracy,0.724,roc_auc,0.6510955657050357,0.43933299998752773,1.4039241248974577,
2_ood,classification,tabicl_v2,50,5,True,100,500,0,ok,accuracy,0.714,roc_auc,0.557958027403596,0.2900597080588341,3.1056155409896746,
2_ood,classification,tabpfn_v2_5,100,5,False,100,500,0,ok,accuracy,0.712,roc_auc,0.7601514495195008,0.15449887502472848,4.161469041020609,
2_ood,classification,tabpfn_v3,100,5,False,100,500,0,ok,accuracy,0.708,roc_auc,0.7593492804543485,0.4184733750298619,2.321888874983415,
2_ood,classification,tabicl_v2,100,5,False,100,500,0,ok,accuracy,0.612,roc_auc,0.694854887616114,0.3870007919613272,6.2682955000782385,
2_ood,classification,tabpfn_v2_5,100,5,True,100,500,0,ok,accuracy,0.674,roc_auc,0.6154319312528268,0.27248337492346764,19.58914812502917,
2_ood,classification,tabpfn_v3,100,5,True,100,500,0,ok,accuracy,0.678,roc_auc,0.5700768882858436,2.459661583066918,16.28453275002539,
2_ood,classification,tabicl_v2,100,5,True,100,500,0,ok,accuracy,0.672,roc_auc,0.5665490728177296,0.8131444590399042,10.750678458018228,
2_ood,classification,tabpfn_v2_5,200,5,False,100,500,0,ok,accuracy,0.748,roc_auc,0.7745479292241882,0.21744354197289795,18.65050633298233,
2_ood,classification,tabpfn_v3,200,5,False,100,500,0,ok,accuracy,0.742,roc_auc,0.7649556030850995,0.9920563749037683,19.893596415990032,
2_ood,classification,tabicl_v2,200,5,False,100,500,0,ok,accuracy,0.556,roc_auc,0.577694601075896,0.9366879999870434,19.95419870794285,
2_ood,classification,tabpfn_v2_5,200,5,True,100,500,0,ok,accuracy,0.676,roc_auc,0.6390532544378698,0.2829662919975817,26.666883458965458,
2_ood,classification,tabpfn_v3,200,5,True,100,500,0,ok,accuracy,0.674,roc_auc,0.6209621194515454,0.5233825420727953,7.61666658311151,
2_ood,classification,tabicl_v2,200,5,True,100,500,0,ok,accuracy,0.672,roc_auc,0.6075904109833926,0.8439607499167323,25.96972395805642,
2_ood,classification,tabpfn_v2_5,500,5,False,100,500,0,ok,accuracy,0.648,roc_auc,0.6797295501362217,0.35741937498096377,80.79034741700161,
2_ood,classification,tabpfn_v3,500,5,False,100,500,0,ok,accuracy,0.682,roc_auc,0.7106784503953751,1.0602025410626084,16.650008208933286,
2_ood,classification,tabicl_v2,500,5,False,100,500,0,ok,accuracy,0.554,roc_auc,0.5870323609542163,1.7947118330048397,75.99097599997185,
2_ood,classification,tabpfn_v2_5,500,5,True,100,500,0,ok,accuracy,0.696,roc_auc,0.6985147756851937,0.7097500840900466,49.09402154199779,
2_ood,classification,tabpfn_v3,500,5,True,100,500,0,ok,accuracy,0.746,roc_auc,0.7438881233093451,0.659919457975775,7.71485600003507,
2_ood,classification,tabicl_v2,500,5,True,100,500,0,ok,accuracy,0.492,roc_auc,0.5961482842511782,1.806475416989997,55.34797879203688,
2_ood,classification,tabpfn_v2_5,1000,5,False,100,500,0,ok,accuracy,0.606,roc_auc,0.6485724808249668,0.5839010840281844,64.84431537496857,
2_ood,classification,tabpfn_v3,1000,5,False,100,500,0,ok,accuracy,0.628,roc_auc,0.6663464155898224,1.6041635409928858,19.479038499994203,
